Cannae Holdings PE Ratio Historical Data,Cannae Holdings PE Ratio Historical Data,Cannae Holdings PE Ratio Historical Data,Cannae Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.68,,0.0
2024-06-30,18.03,$-6.77,0.0
2024-03-31,21.95,$-5.44,0.0
2023-12-31,19.26,$-4.22,0.0
2023-09-30,18.4,$-3.04,0.0
2023-06-30,19.95,$-0.17,0.0
2023-03-31,19.92,$-2.16,0.0
2022-12-31,20.38,$-4.99,0.0
2022-09-30,20.39,$-6.58,0.0
2022-06-30,19.09,$-8.63,0.0
2022-03-31,23.61,$-3.54,0.0
2021-12-31,34.69,$-3.21,0.0
2021-09-30,30.7,$3.83,8.02
2021-06-30,33.47,$6.63,5.05
2021-03-31,39.1,$10.56,3.7
2020-12-31,43.69,$21.28,2.05
2020-09-30,36.77,$15.81,2.33
2020-06-30,40.56,$15.01,2.7
2020-03-31,33.05,$9.41,3.51
2019-12-31,36.7,$1.31,28.02
2019-09-30,27.11,$1.63,16.63
2019-06-30,28.6,$1.01,28.32
2019-03-31,23.94,$0.48,49.88
2018-12-31,16.9,$0.39,43.32
2018-09-30,20.68,$-0.33,0.0
