FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,422.84,,31.89
2024-05-31,403.27,$13.26,30.41
2024-02-29,461.45,$12.63,36.54
2023-11-30,451.4,$12.36,36.52
2023-08-31,433.49,$12.04,36.0
2023-05-31,381.46,$13.05,29.23
2023-02-28,409.82,$11.52,35.57
2022-11-30,455.06,$10.98,41.44
2022-08-31,426.65,$10.25,41.62
2022-05-31,375.12,$10.19,36.81
2022-02-28,398.09,$10.88,36.59
2021-11-30,458.42,$10.54,43.49
2021-08-31,371.33,$10.37,35.81
2021-05-31,325.84,$10.03,32.49
2021-02-28,295.44,$10.04,29.43
2020-11-30,323.61,$9.84,32.89
2020-08-31,338.93,$9.65,35.12
2020-05-31,296.8,$9.70,30.6
2020-02-29,256.08,$9.44,27.13
2019-11-30,249.33,$9.33,26.72
2019-08-31,260.56,$9.07,28.73
2019-05-31,265.7,$8.50,31.26
2019-02-28,224.02,$8.04,27.86
2018-11-30,222.77,$7.18,31.03
2018-08-31,217.92,$6.78,32.14
2018-05-31,190.42,$6.53,29.16
2018-02-28,191.87,$6.30,30.46
2017-11-30,188.24,$6.63,28.39
2017-08-31,147.61,$8.41,17.55
2017-02-28,165.89,$8.51,19.49
2016-11-30,148.95,$8.46,17.61
2016-08-31,165.05,$8.23,20.05
2016-05-31,147.06,$6.16,23.87
2016-02-29,138.68,$5.99,23.15
2015-11-30,155.78,$5.82,26.77
2015-08-31,144.73,$5.71,25.35
2015-05-31,150.96,$5.54,27.25
2015-02-28,141.79,$5.75,24.66
2014-11-30,124.63,$5.50,22.66
2014-08-31,115.52,$5.40,21.39
2017-05-31,155.04,$5.28,29.36
2014-05-31,96.85,$4.78,20.26
2014-02-28,94.83,$4.77,19.88
2013-11-30,101.44,$4.55,22.29
2013-08-31,91.6,$4.47,20.49
2013-05-31,87.58,$4.39,19.95
2013-02-28,86.47,$4.24,20.39
2012-11-30,81.85,$4.26,19.21
2012-08-31,81.47,$4.14,19.68
2012-05-31,92.78,$3.94,23.55
2012-02-29,76.69,$3.81,20.13
2011-11-30,81.56,$3.74,21.81
2011-08-31,76.67,$3.63,21.12
2011-05-31,96.4,$3.58,26.93
2011-02-28,90.97,$3.47,26.22
2010-11-30,76.73,$3.27,23.47
2010-08-31,63.49,$3.13,20.28
2010-05-31,58.56,$3.04,19.26
2010-02-28,56.77,$3.02,18.8
2009-11-30,61.86,$2.98,20.76
