AutoNation PE Ratio Historical Data,AutoNation PE Ratio Historical Data,AutoNation PE Ratio Historical Data,AutoNation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,169.04,,9.25
2024-06-30,159.38,$18.27,8.72
2024-03-31,165.58,$21.09,7.85
2023-12-31,150.18,$22.67,6.62
2023-09-30,151.4,$23.35,6.48
2023-06-30,164.61,$24.12,6.82
2023-03-31,134.36,$24.58,5.47
2022-12-31,107.3,$24.29,4.42
2022-09-30,101.87,$24.44,4.17
2022-06-30,111.76,$23.25,4.81
2022-03-31,99.58,$21.60,4.61
2021-12-31,116.85,$18.67,6.26
2021-09-30,121.76,$14.53,8.38
2021-06-30,94.81,$11.46,8.27
2021-03-31,93.22,$9.81,9.5
2020-12-31,69.79,$4.38,15.93
2020-09-30,52.93,$4.39,12.06
2020-06-30,37.58,$3.44,10.92
2020-03-31,28.06,$1.38,20.33
2019-12-31,48.63,$4.97,9.78
2019-09-30,50.7,$4.25,11.93
2019-06-30,41.94,$4.38,9.58
2019-03-31,35.72,$4.33,8.25
2018-12-31,35.7,$4.33,8.24
2018-09-30,41.55,$4.95,8.39
2018-06-30,48.58,$4.72,10.29
2018-03-31,46.78,$4.51,10.37
2017-12-31,51.33,$4.47,11.48
2017-09-30,47.46,$3.97,11.95
2017-06-30,42.16,$4.02,10.49
2017-03-31,42.29,$4.24,9.97
2016-12-31,48.65,$4.16,11.69
2016-09-30,48.71,$3.89,12.52
2016-06-30,46.98,$3.88,12.11
2016-03-31,46.68,$3.80,12.28
2015-12-31,59.66,$3.88,15.38
2015-09-30,58.18,$4.03,14.44
2015-06-30,62.98,$3.89,16.19
2015-03-31,64.33,$3.72,17.29
2014-12-31,60.41,$3.53,17.11
2014-09-30,50.31,$3.40,14.8
2014-06-30,59.68,$3.25,18.36
2014-03-31,53.23,$3.15,16.9
2013-12-31,49.69,$3.04,16.35
2013-09-30,52.17,$2.82,18.5
2013-06-30,43.39,$2.73,15.89
2013-03-31,43.75,$2.64,16.57
2012-12-31,39.7,$2.52,15.75
2012-09-30,43.67,$2.34,18.66
2012-06-30,35.28,$2.16,16.33
2012-03-31,34.31,$2.00,17.16
2011-12-31,36.87,$1.91,19.3
2011-09-30,32.78,$1.87,17.53
2011-06-30,36.61,$1.77,20.68
2011-03-31,35.37,$1.58,22.39
2010-12-31,28.2,$1.44,19.58
2010-09-30,23.25,$1.35,17.22
2010-06-30,19.5,$1.33,14.66
2010-03-31,18.08,$1.25,14.46
2009-12-31,19.15,$1.13,16.95
