Phreesia PE Ratio Historical Data,Phreesia PE Ratio Historical Data,Phreesia PE Ratio Historical Data,Phreesia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.4,,0.0
2024-07-31,24.95,$-1.80,0.0
2024-04-30,20.74,$-2.17,0.0
2024-01-31,25.48,$-2.52,0.0
2023-10-31,13.66,$-2.68,0.0
2023-07-31,31.72,$-2.86,0.0
2023-04-30,31.64,$-3.07,0.0
2023-01-31,37.49,$-3.36,0.0
2022-10-31,27.32,$-3.54,0.0
2022-07-31,23.49,$-3.49,0.0
2022-04-30,22.88,$-3.08,0.0
2022-01-31,31.19,$-2.33,0.0
2021-10-31,70.54,$-1.61,0.0
2021-07-31,68.35,$-1.07,0.0
2021-04-30,51.75,$-0.76,0.0
2021-01-31,65.29,$-0.68,0.0
2020-10-31,36.97,$-0.60,0.0
2020-07-31,30.06,$-0.50,0.0
2020-04-30,25.39,$-10.75,0.0
