Helen Of Troy PE Ratio Historical Data,Helen Of Troy PE Ratio Historical Data,Helen Of Troy PE Ratio Historical Data,Helen Of Troy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.7,,11.15
2024-08-31,53.38,$5.98,8.93
2024-05-31,106.88,$6.38,16.75
2024-02-29,125.0,$7.06,17.71
2023-11-30,105.03,$6.77,15.51
2023-08-31,122.92,$5.73,21.45
2023-05-31,96.28,$5.87,16.4
2023-02-28,112.69,$5.95,18.94
2022-11-30,98.54,$6.09,16.18
2022-08-31,123.63,$7.04,17.56
2022-05-31,185.19,$7.87,23.53
2022-02-28,205.67,$9.16,22.45
2021-11-30,240.5,$8.42,28.56
2021-08-31,239.19,$8.66,27.62
2021-05-31,210.48,$9.98,21.09
2021-02-28,216.8,$10.04,21.59
2020-11-30,201.99,$9.01,22.42
2020-08-31,206.82,$8.38,24.68
2020-05-31,181.92,$6.78,26.83
2020-02-29,164.6,$6.02,27.34
2019-11-30,161.42,$7.60,21.24
2019-08-31,153.51,$6.77,22.68
2019-05-31,133.61,$6.60,20.24
2019-02-28,112.11,$6.41,17.49
2018-11-30,143.03,$7.18,19.92
2018-08-31,118.95,$4.18,28.46
2018-05-31,89.8,$2.85,31.51
2018-02-28,90.05,$1.65,54.58
2017-11-30,89.4,$0.73,122.47
2017-08-31,90.3,$3.92,23.04
2017-05-31,91.0,$4.59,19.83
2017-02-28,97.7,$5.05,19.35
2016-11-30,85.1,$4.09,20.81
2016-08-31,90.34,$3.65,24.75
2016-05-31,102.83,$3.49,29.46
2016-02-29,95.36,$3.51,27.17
2015-11-30,103.41,$4.57,22.63
2015-08-31,85.14,$4.86,17.52
2015-05-31,87.49,$4.67,18.73
2015-02-28,76.62,$4.52,16.95
2014-11-30,64.66,$3.46,18.69
2014-08-31,58.22,$2.70,21.56
2014-05-31,57.96,$2.77,20.92
2014-02-28,65.31,$2.67,24.46
2013-11-30,48.71,$3.31,14.72
2013-08-31,40.18,$3.33,12.07
2013-05-31,39.67,$3.33,11.91
2013-02-28,37.08,$3.62,10.24
2012-11-30,30.86,$3.56,8.67
2012-08-31,31.44,$3.42,9.19
2012-05-31,31.48,$3.44,9.15
2012-02-29,32.5,$3.48,9.34
2011-11-30,29.87,$3.33,8.97
2011-08-31,30.02,$3.15,9.53
2011-05-31,32.39,$3.16,10.25
2011-02-28,27.93,$2.97,9.4
2010-11-30,23.62,$2.74,8.62
2010-08-31,22.26,$2.68,8.3
2010-05-31,25.76,$2.44,10.56
2010-02-28,24.17,$2.32,10.42
2009-11-30,20.55,$-1.15,0.0
