Borr Drilling PE Ratio Historical Data,Borr Drilling PE Ratio Historical Data,Borr Drilling PE Ratio Historical Data,Borr Drilling PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.21,,17.97
2024-06-30,6.45,$0.29,22.24
2024-03-31,6.85,$0.17,40.29
2023-12-31,7.36,$0.08,92.0
2023-09-30,7.1,$-0.12,0.0
2023-06-30,7.53,$-0.42,0.0
2023-03-31,7.58,$-1.51,0.0
2022-12-31,4.97,$-1.83,0.0
2022-09-30,3.32,$-2.08,0.0
2022-06-30,4.61,$-2.02,0.0
2022-03-31,3.35,$-1.37,0.0
2021-12-31,2.06,$-1.48,0.0
2021-09-30,1.68,$-1.58,0.0
2021-06-30,1.63,$-2.12,0.0
2021-03-31,1.93,$-3.34,0.0
2020-12-31,1.63,$-4.46,0.0
2020-09-30,1.1,$-5.28,0.0
2020-06-30,2.24,$-5.94,0.0
