Innovex PE Ratio Historical Data,Innovex PE Ratio Historical Data,Innovex PE Ratio Historical Data,Innovex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.55,,0.0
2024-06-30,18.6,$-0.79,0.0
2024-03-31,22.53,$-0.64,0.0
2023-12-31,23.27,$0.01,2327.0
2023-09-30,28.17,$-0.05,0.0
2023-06-30,23.27,$0.60,38.78
2023-03-31,28.69,$0.34,84.38
2022-12-31,27.17,$0.01,0.0
2022-09-30,19.52,$-1.79,0.0
2022-06-30,25.8,$-2.54,0.0
2022-03-31,37.35,$-2.92,0.0
2021-12-31,19.68,$-3.63,0.0
2021-09-30,25.18,$-2.15,0.0
2021-06-30,33.83,$-1.43,0.0
2021-03-31,33.23,$-1.29,0.0
2020-12-31,29.62,$-0.87,0.0
2020-09-30,24.76,$-0.33,0.0
2020-06-30,29.79,$-0.78,0.0
2020-03-31,30.5,$-0.33,0.0
2019-12-31,46.91,$0.05,938.2
2019-09-30,50.18,$-2.25,0.0
2019-06-30,48.0,$-2.49,0.0
2019-03-31,45.85,$-2.62,0.0
2018-12-31,30.03,$-2.65,0.0
2018-09-30,52.25,$-2.46,0.0
2018-06-30,51.4,$-2.96,0.0
2018-03-31,44.8,$-2.88,0.0
2017-12-31,47.7,$-2.68,0.0
2017-09-30,44.15,$-0.75,0.0
2017-06-30,48.8,$0.54,90.37
2017-03-31,54.55,$1.50,36.37
2016-12-31,60.05,$2.47,24.31
2016-09-30,55.74,$3.72,14.98
2016-06-30,58.43,$4.53,12.9
2016-03-31,60.56,$4.58,13.22
2015-12-31,59.23,$4.99,11.87
2015-09-30,58.22,$5.21,11.17
2015-06-30,75.25,$5.29,14.22
2015-03-31,68.39,$5.55,12.32
2014-12-31,76.73,$5.21,14.73
2014-09-30,89.4,$4.86,18.4
2014-06-30,109.24,$4.44,24.6
2014-03-31,112.1,$4.22,26.56
2013-12-31,109.93,$4.16,26.43
2013-09-30,114.75,$3.77,30.44
2013-06-30,90.29,$3.52,25.65
2013-03-31,87.17,$3.21,27.16
2012-12-31,73.05,$2.94,24.85
2012-09-30,71.88,$2.88,24.96
2012-06-30,65.59,$2.73,24.03
2012-03-31,65.02,$2.54,25.6
2011-12-31,65.82,$2.37,27.77
2011-09-30,53.91,$2.19,24.62
2011-06-30,67.83,$2.30,29.49
2011-03-31,79.03,$2.45,32.26
2010-12-31,77.72,$2.55,30.48
2010-09-30,62.11,$2.75,22.59
2010-06-30,44.02,$2.69,16.36
2010-03-31,60.84,$2.67,22.79
2009-12-31,56.48,$2.66,21.23
