UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data,UPS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,128.55,,20.97
2024-06-30,135.14,$6.13,22.05
2024-03-31,145.17,$6.90,21.04
2023-12-31,151.9,$7.79,19.5
2023-09-30,148.84,$9.88,15.06
2023-06-30,169.61,$11.53,14.71
2023-03-31,181.81,$12.36,14.71
2022-12-31,161.5,$13.20,12.23
2022-09-30,148.76,$12.76,11.66
2022-06-30,166.86,$12.45,13.4
2022-03-31,194.38,$12.25,15.87
2021-12-31,192.87,$14.69,13.13
2021-09-30,163.06,$7.42,21.98
2021-06-30,185.25,$7.01,26.43
2021-03-31,150.69,$5.99,25.16
2020-12-31,148.34,$1.63,91.01
2020-09-30,145.88,$5.26,27.73
2020-06-30,96.72,$5.03,19.23
2020-03-31,80.43,$4.94,16.28
2019-12-31,99.76,$5.11,19.52
2019-09-30,101.32,$5.75,17.62
2019-06-30,86.61,$5.47,15.83
2019-03-31,92.82,$5.24,17.71
2018-12-31,80.32,$5.51,14.58
2018-09-30,95.36,$6.26,15.23
2018-06-30,86.12,$5.98,14.4
2018-03-31,84.18,$5.85,14.39
2017-12-31,95.03,$5.62,16.91
2017-09-30,95.08,$4.08,23.3
2017-06-30,86.91,$4.07,21.35
2017-03-31,83.65,$3.92,21.34
2016-12-31,88.69,$3.87,22.92
2016-09-30,84.02,$5.62,14.95
2016-06-30,82.18,$5.57,14.75
2016-03-31,79.85,$5.49,14.55
2015-12-31,72.28,$5.34,13.54
2015-09-30,73.6,$4.35,16.92
2015-06-30,71.76,$4.28,16.77
2015-03-31,71.27,$3.42,20.84
2014-12-31,81.14,$3.28,24.74
2014-09-30,71.3,$4.04,17.65
2014-06-30,73.95,$3.88,19.06
2014-03-31,69.69,$4.52,15.42
2013-12-31,74.67,$4.62,16.16
2013-09-30,64.53,$1.54,41.91
2013-06-30,60.64,$0.86,70.52
2013-03-31,59.82,$0.88,67.97
2012-12-31,50.96,$0.80,63.7
2012-09-30,49.07,$3.37,14.56
2012-06-30,53.6,$3.95,13.57
2012-03-31,54.53,$3.87,14.09
2011-12-31,49.08,$3.75,13.09
2011-09-30,42.03,$4.12,10.2
2011-06-30,48.13,$4.05,11.88
2011-03-31,48.71,$3.82,12.75
2010-12-31,47.24,$3.47,13.61
2010-09-30,43.11,$3.11,13.86
2010-06-30,36.51,$2.67,13.67
2010-03-31,41.05,$2.27,18.08
2009-12-31,36.26,$2.14,16.94
