Verint Systems PE Ratio Historical Data,Verint Systems PE Ratio Historical Data,Verint Systems PE Ratio Historical Data,Verint Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.98,,34.3
2024-07-31,36.14,$0.67,53.94
2024-04-30,30.28,$0.48,63.08
2024-01-31,29.69,$0.29,102.38
2023-10-31,18.81,$0.04,470.25
2023-07-31,37.37,$-0.10,0.0
2023-04-30,36.49,$-0.05,0.0
2023-01-31,37.97,$-0.10,0.0
2022-10-31,35.43,$-0.37,0.0
2022-07-31,45.67,$-0.23,0.0
2022-04-30,54.56,$-0.11,0.0
2022-01-31,51.33,$-0.07,0.0
2021-10-31,46.6,$-0.26,0.0
2021-07-31,42.67,$-0.27,0.0
2021-04-30,48.57,$-0.18,0.0
2021-01-31,37.61,$-0.23,0.0
2020-10-31,24.72,$0.18,137.32
2020-07-31,22.87,$0.24,95.28
2020-04-30,21.77,$0.31,70.23
2020-01-31,29.55,$0.42,70.35
2019-10-31,23.12,$0.76,30.42
2019-07-31,29.48,$0.88,33.5
2019-04-30,30.76,$1.05,29.3
2019-01-31,24.64,$1.00,24.64
2018-10-31,23.27,$0.85,27.37
2018-07-31,22.87,$0.60,38.12
2018-04-30,21.45,$0.17,126.16
2018-01-31,21.27,$-0.12,0.0
2017-10-31,21.5,$-0.25,0.0
2017-07-31,20.2,$-0.42,0.0
2017-04-30,20.02,$-0.51,0.0
2017-01-31,19.03,$-0.47,0.0
2016-10-31,18.34,$-0.32,0.0
2016-07-31,17.97,$-0.07,0.0
2016-04-30,17.24,$-0.06,0.0
2016-01-31,18.65,$0.21,88.81
2015-10-31,24.24,0,0.0
2015-07-31,29.66,$0.05,593.17
2015-04-30,31.29,$0.02,1564.7
2015-01-31,27.19,$0.54,50.36
2014-10-31,29.29,$0.89,32.91
2014-07-31,23.91,$1.14,20.98
2014-04-30,22.3,$1.68,13.27
2014-01-31,23.15,$0.99,23.38
2013-10-31,18.6,$1.07,17.39
2013-07-31,18.23,$0.69,26.42
2013-04-30,16.83,$0.58,29.02
2013-01-31,17.22,$0.92,18.72
2012-10-31,13.89,$0.76,18.28
2012-07-31,14.22,$0.87,16.34
2012-04-30,15.41,$0.82,18.79
2012-01-31,14.41,$0.56,25.73
2011-10-31,15.18,$0.47,32.3
2011-07-31,17.33,$0.68,25.49
2011-04-30,17.44,$0.74,23.56
2011-01-31,17.55,$0.24,73.15
2010-10-31,16.77,$-0.70,0.0
2010-07-31,11.51,$-0.77,0.0
2010-04-30,13.53,$-1.06,0.0
2010-01-31,9.32,$0.01,932.25
2009-10-31,7.85,$0.02,392.26
