Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data,Bruker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.49,,25.1
2024-06-30,63.76,$2.41,26.46
2024-03-31,93.8,$2.75,34.11
2023-12-31,73.33,$2.92,25.11
2023-09-30,62.12,$2.17,28.63
2023-06-30,73.65,$2.16,34.1
2023-03-31,78.5,$2.10,37.38
2022-12-31,68.0,$1.99,34.17
2022-09-30,52.75,$1.83,28.83
2022-06-30,62.34,$1.81,34.44
2022-03-31,63.82,$1.86,34.31
2021-12-31,83.22,$1.82,45.73
2021-09-30,77.42,$1.77,43.74
2021-06-30,75.29,$1.55,48.57
2021-03-31,63.66,$1.33,47.86
2020-12-31,53.57,$1.03,52.01
2020-09-30,39.31,$1.02,38.54
2020-06-30,40.19,$1.06,37.91
2020-03-31,35.39,$1.13,31.32
2019-12-31,50.26,$1.26,39.89
2019-09-30,43.29,$1.32,32.79
2019-06-30,49.17,$1.21,40.64
2019-03-31,37.81,$1.18,32.04
2018-12-31,29.25,$0.96,30.47
2018-09-30,32.82,$0.69,47.57
2018-06-30,28.46,$0.56,50.83
2017-12-31,33.55,$0.49,68.47
2017-09-30,29.05,$0.94,30.9
2017-06-30,28.12,$0.88,31.96
2017-03-31,22.72,$1.02,22.27
2016-12-31,20.59,$0.98,21.01
2018-03-31,29.29,$0.69,42.45
2016-09-30,21.98,$0.88,24.98
2016-06-30,22.03,$0.66,33.37
2016-03-31,27.08,$0.70,38.69
2015-12-31,23.44,$0.60,39.07
2015-09-30,15.87,$0.39,40.69
2015-06-30,19.71,$0.35,56.32
2015-03-31,17.84,$0.32,55.74
2014-12-31,18.95,$0.33,57.42
2014-09-30,17.88,$0.39,45.85
2014-06-30,23.44,$0.46,50.95
2014-03-31,22.01,$0.50,44.02
2013-12-31,19.09,$0.48,39.78
2013-09-30,19.94,$0.35,56.98
2013-06-30,15.6,$0.49,31.83
2013-03-31,18.45,$0.41,44.99
2012-12-31,14.72,$0.47,31.31
2012-09-30,12.64,$0.62,20.39
2012-06-30,12.85,$0.50,25.71
2012-03-31,14.79,$0.57,25.94
2011-12-31,11.99,$0.55,21.81
2011-09-30,13.07,$0.50,26.13
2011-06-30,19.66,$0.55,35.75
2011-03-31,20.14,$0.56,35.96
2010-12-31,16.03,$0.59,27.17
2010-09-30,13.55,$0.67,20.22
2010-06-30,11.74,$0.60,19.57
2010-03-31,14.15,$0.54,26.2
2009-12-31,11.65,$0.49,23.77
