Extreme Networks PE Ratio Historical Data,Extreme Networks PE Ratio Historical Data,Extreme Networks PE Ratio Historical Data,Extreme Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.15,,0.0
2024-06-30,13.45,$-0.68,0.0
2024-03-31,11.54,$-0.07,0.0
2023-12-31,17.64,$0.60,29.4
2023-09-30,24.21,$0.70,34.59
2023-06-30,26.05,$0.58,44.91
2023-03-31,19.12,$0.43,44.47
2022-12-31,18.31,$0.36,50.86
2022-09-30,13.07,$0.33,39.61
2022-06-30,8.92,$0.34,26.24
2022-03-31,12.21,$0.38,32.13
2021-12-31,15.7,$0.31,50.65
2021-09-30,9.85,$0.19,51.84
2021-06-30,11.16,$0.02,558.0
2021-03-31,8.75,$-0.24,0.0
2020-12-31,6.89,$-0.64,0.0
2020-09-30,4.02,$-0.82,0.0
2020-06-30,4.34,$-1.06,0.0
2020-03-31,3.09,$-1.02,0.0
2019-12-31,7.37,$-0.71,0.0
2019-09-30,7.28,$-0.45,0.0
2019-06-30,6.47,$-0.22,0.0
2019-03-31,7.49,$-0.13,0.0
2018-12-31,6.1,$-0.19,0.0
2018-09-30,5.48,$-0.53,0.0
2018-06-30,7.96,$-0.41,0.0
2018-03-31,11.07,$-0.25,0.0
2017-12-31,12.52,$-0.18,0.0
2017-09-30,11.89,$0.02,594.5
2017-06-30,9.22,$-0.08,0.0
2017-03-31,7.51,$-0.21,0.0
2016-12-31,5.03,$-0.26,0.0
2016-09-30,4.49,$-0.25,0.0
2016-06-30,3.39,$-0.30,0.0
2016-03-31,3.11,$-0.44,0.0
2015-12-31,4.08,$-0.58,0.0
2015-09-30,3.36,$-0.64,0.0
2015-06-30,2.69,$-0.70,0.0
2015-03-31,3.16,$-0.80,0.0
2014-12-31,3.53,$-0.73,0.0
2014-06-30,4.44,$-0.60,0.0
2014-03-31,5.8,$-0.40,0.0
2013-12-31,6.98,$-0.34,0.0
2013-09-30,5.22,$-0.19,0.0
2013-06-30,3.44,$-0.23,0.0
2014-09-30,4.79,$-0.12,0.0
2013-03-31,3.37,$0.16,21.06
2012-12-31,3.64,$0.21,17.33
2012-09-30,3.35,$0.29,11.55
2012-06-30,3.44,$0.17,20.24
2012-03-31,3.83,$0.07,54.71
2011-12-31,2.92,$-0.03,0.0
2011-09-30,2.65,$0.03,88.33
2011-06-30,3.24,$0.04,81.0
2011-03-31,3.5,$0.10,35.0
2010-12-31,3.09,$0.21,14.71
2010-09-30,3.11,$0.09,34.56
2010-06-30,2.7,0,0.0
2010-03-31,3.07,$-0.03,0.0
2009-12-31,2.87,$-0.10,0.0
