Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data,Prologis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,127.82,,42.18
2024-06-30,112.31,$3.03,37.07
2024-03-31,129.11,$3.42,37.75
2023-12-31,131.18,$3.29,39.87
2023-09-30,109.72,$3.24,33.86
2023-06-30,119.07,$3.80,31.33
2023-03-31,120.28,$3.31,36.34
2022-12-31,107.89,$4.48,24.08
2022-09-30,96.56,$4.82,20.03
2022-06-30,111.09,$4.27,26.02
2021-12-31,157.1,$3.94,39.87
2021-09-30,116.58,$2.65,43.99
2021-06-30,110.58,$2.08,53.16
2021-03-31,97.56,$1.81,53.9
2020-12-31,91.16,$2.02,45.13
2020-09-30,91.51,$2.25,40.67
2020-06-30,84.4,$2.56,32.97
2020-03-31,72.24,$2.62,27.57
2019-12-31,79.53,$2.47,32.2
2019-09-30,75.57,$2.80,26.99
2019-06-30,70.59,$2.69,26.24
2019-03-31,62.99,$2.71,23.24
2018-12-31,51.03,$2.84,17.97
2018-09-30,58.45,$2.45,23.86
2018-06-30,56.24,$3.48,16.16
2018-03-31,53.53,$3.36,15.93
2017-12-31,54.41,$3.06,17.78
2017-09-30,53.17,$3.33,15.97
2017-06-30,48.8,$2.22,21.98
2017-03-31,42.85,$2.24,19.13
2016-12-31,43.21,$2.25,19.21
2016-09-30,43.47,$2.97,14.64
2016-06-30,39.49,$2.68,14.74
2016-03-31,35.28,$2.65,13.31
2022-03-31,151.44,$2.53,59.86
2015-12-31,33.94,$1.64,20.69
2015-09-30,30.47,$2.22,13.72
2015-06-30,28.75,$1.96,14.67
2015-03-31,33.45,$1.82,18.38
2014-12-31,32.77,$1.18,27.77
2014-09-30,28.48,$0.49,58.12
2014-06-30,30.78,$0.24,128.25
2014-03-31,30.34,$0.11,275.84
2013-12-31,27.24,$-0.40,0.0
2013-09-30,27.52,$-0.62,0.0
2013-06-30,27.38,$-0.62,0.0
2012-12-31,26.12,$-0.20,0.0
2012-09-30,24.87,$0.20,124.36
2012-06-30,23.41,$0.87,26.91
2012-03-31,25.16,$1.01,24.91
2011-12-31,19.8,$0.10,198.02
2013-03-31,28.82,$0.25,115.27
2011-09-30,16.62,$-0.29,0.0
2011-06-30,24.32,$-0.37,0.0
2011-03-31,24.22,$0.14,172.99
2010-12-31,21.17,$0.04,529.37
2010-09-30,17.34,$0.44,39.4
2010-06-30,15.35,$0.52,29.51
2009-12-31,16.37,$-0.74,0.0
2009-09-30,14.35,$-0.72,0.0
