Quaker Houghton PE Ratio Historical Data,Quaker Houghton PE Ratio Historical Data,Quaker Houghton PE Ratio Historical Data,Quaker Houghton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,164.9,,23.97
2024-06-30,168.8,$6.88,24.54
2024-03-31,203.68,$6.57,31.0
2023-12-31,211.3,$6.26,33.75
2023-09-30,157.92,$0.90,175.47
2023-06-30,191.94,$0.47,408.39
2023-03-31,194.52,$-0.36,0.0
2022-12-31,163.64,$-0.89,0.0
2022-09-30,141.1,$4.36,32.36
2022-06-30,145.67,$4.65,31.33
2022-03-31,167.93,$5.73,29.31
2021-12-31,223.84,$6.77,33.06
2021-09-30,230.17,$8.48,27.14
2021-06-30,229.27,$8.28,27.69
2021-03-31,235.24,$5.97,39.4
2020-12-31,244.18,$2.22,109.99
2020-09-30,172.82,$0.36,480.07
2020-06-30,178.2,$-1.97,0.0
2020-03-31,120.86,$-0.37,0.0
2019-12-31,157.1,$2.26,69.51
2019-09-30,150.65,$1.98,76.08
2019-06-30,192.87,$4.25,45.38
2019-03-31,190.11,$4.52,42.06
2018-12-31,168.31,$4.44,37.91
2018-09-30,191.16,$3.13,61.07
2018-06-30,146.06,$2.49,58.66
2018-03-31,139.38,$1.94,71.85
2017-12-31,141.56,$1.51,93.75
2017-09-30,138.56,$3.55,39.03
2017-06-30,135.69,$3.93,34.53
2017-03-31,122.71,$4.17,29.43
2016-12-31,118.92,$4.63,25.68
2016-09-30,98.14,$4.18,23.48
2016-06-30,82.34,$4.05,20.33
2016-03-31,78.05,$4.05,19.27
2015-12-31,70.73,$3.85,18.37
2015-09-30,70.29,$3.94,17.84
2015-06-30,80.71,$4.04,19.98
2015-03-31,77.54,$4.07,19.05
2014-12-31,83.03,$4.25,19.54
2014-09-30,64.4,$4.37,14.74
2014-06-30,68.7,$4.14,16.59
2014-03-31,70.3,$4.20,16.74
2013-12-31,68.5,$4.28,16.01
2013-09-30,64.71,$4.20,15.41
2013-06-30,54.73,$4.05,13.51
2013-03-31,51.87,$3.64,14.25
2012-12-31,47.14,$3.51,13.43
2012-09-30,40.63,$3.27,12.43
2012-06-30,40.02,$3.50,11.43
2012-03-31,33.96,$3.48,9.76
2011-12-31,33.29,$3.48,9.57
2011-09-30,22.01,$3.32,6.63
2011-06-30,36.33,$2.84,12.79
2011-03-31,33.73,$2.85,11.84
2010-12-31,34.8,$2.78,12.52
2010-09-30,27.02,$2.90,9.32
2010-06-30,22.3,$2.80,7.97
2010-03-31,22.15,$2.29,9.67
2009-12-31,16.69,$1.45,11.51
