V2X PE Ratio Historical Data,V2X PE Ratio Historical Data,V2X PE Ratio Historical Data,V2X PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.68,,0.0
2024-06-30,47.96,$-0.40,0.0
2024-03-31,46.71,$-0.13,0.0
2023-12-31,46.44,$-0.74,0.0
2023-09-30,51.66,$-1.07,0.0
2023-06-30,49.56,$-1.42,0.0
2023-03-31,39.72,$-0.60,0.0
2022-12-31,41.29,$0.21,196.62
2022-09-30,35.4,$1.19,29.75
2022-06-30,33.46,$2.62,12.77
2022-03-31,35.86,$3.09,11.61
2021-12-31,45.77,$3.87,11.83
2021-09-30,50.28,$4.66,10.79
2021-06-30,47.59,$4.67,10.19
2021-03-31,53.44,$3.41,15.67
2020-12-31,49.72,$3.13,15.88
2020-09-30,38.0,$2.62,14.5
2020-06-30,49.13,$2.54,19.34
2020-03-31,41.41,$3.11,13.32
2019-12-31,51.26,$2.99,17.14
2019-09-30,40.65,$2.97,13.69
2019-06-30,40.56,$3.03,13.39
2019-03-31,26.59,$3.18,8.36
2018-12-31,21.58,$3.10,6.96
2018-09-30,31.19,$5.91,5.28
2018-06-30,30.82,$5.56,5.54
2018-03-31,37.24,$5.24,7.11
2017-12-31,30.85,$5.30,5.82
2017-09-30,30.84,$1.81,17.04
2017-06-30,32.32,$1.90,17.01
2017-03-31,22.35,$1.96,11.4
2016-12-31,23.85,$1.97,12.11
2016-09-30,15.23,$2.31,6.59
2016-06-30,28.49,$3.00,9.5
2016-03-31,22.75,$3.01,7.56
2015-12-31,20.89,$2.71,7.71
2015-09-30,22.04,$2.36,9.34
2015-06-30,24.87,$1.53,16.25
