Apartment Investment And Management PE Ratio Historical Data,Apartment Investment And Management PE Ratio Historical Data,Apartment Investment And Management PE Ratio Historical Data,Apartment Investment And Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.78,,0.0
2024-06-30,8.29,$-1.59,0.0
2024-03-31,8.19,$-1.18,0.0
2023-12-31,7.83,$-1.17,0.0
2023-09-30,6.8,$-1.44,0.0
2023-06-30,8.52,$-1.23,0.0
2023-03-31,7.69,$0.36,21.36
2022-12-31,7.12,$0.47,15.15
2022-09-30,7.3,$1.80,4.06
2022-06-30,6.39,$1.58,4.04
2022-03-31,7.3,$-0.12,0.0
2021-12-31,7.7,$-0.03,0.0
2021-09-30,6.83,$-0.12,0.0
2021-06-30,6.7,$-0.30,0.0
2021-03-31,6.13,$0.15,40.47
2020-12-31,5.27,$0.06,86.51
2020-09-30,5.11,$1.28,4.0
2020-06-30,5.64,$1.50,3.76
2020-03-31,5.2,$1.67,3.11
2019-12-31,7.58,$3.95,1.92
2019-09-30,7.6,$2.87,2.64
2019-06-30,7.25,$7.47,0.97
2019-03-31,7.22,$7.00,1.03
2018-12-31,6.24,$5.34,1.17
2018-09-30,6.22,$7.43,0.84
2018-06-30,5.91,$2.96,2.0
2018-03-31,5.64,$3.06,1.84
2017-12-31,5.99,$2.49,2.41
2017-09-30,5.96,$1.67,3.57
2017-06-30,5.8,$1.62,3.58
2017-03-31,5.93,$3.29,1.8
2016-12-31,6.03,$3.40,1.78
2016-09-30,6.04,$2.63,2.3
2016-06-30,5.77,$2.69,2.14
2016-03-31,5.42,$1.39,3.9
2015-12-31,5.14,$1.94,2.65
2015-09-30,4.72,$1.71,2.76
2015-06-30,4.67,$2.64,1.77
2015-03-31,4.94,$2.80,1.77
2014-12-31,4.63,$2.62,1.77
2014-09-30,3.94,$3.37,1.17
2014-06-30,3.96,$2.87,1.38
2014-03-31,3.68,$2.31,1.59
2013-12-31,3.13,$1.79,1.75
2013-09-30,3.34,$1.32,2.54
2013-06-30,3.56,$0.94,3.77
2013-03-31,3.61,$0.86,4.22
2012-12-31,3.16,$0.70,4.5
2012-09-30,3.01,$-0.14,0.0
2012-06-30,3.11,$-0.51,0.0
2012-03-31,3.01,$-0.87,0.0
2011-12-31,2.6,$-1.10,0.0
2011-09-30,2.49,$-1.28,0.0
2011-06-30,2.86,$-1.44,0.0
2011-03-31,2.85,$-1.28,0.0
2010-12-31,2.87,$-1.38,0.0
2010-09-30,2.37,$-1.03,0.0
2010-06-30,2.13,$-1.16,0.0
2010-03-31,2.02,$-1.30,0.0
2009-12-31,1.75,$-1.28,0.0
