Crocs PE Ratio Historical Data,Crocs PE Ratio Historical Data,Crocs PE Ratio Historical Data,Crocs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,136.09,,10.23
2024-06-30,145.94,$13.30,10.97
2024-03-31,143.8,$12.92,11.13
2023-12-31,93.41,$12.81,7.29
2023-09-30,88.23,$10.85,8.13
2023-06-30,112.44,$10.70,10.51
2023-03-31,126.44,$9.89,12.78
2022-12-31,108.43,$8.69,12.48
2022-09-30,68.66,$9.06,7.58
2022-06-30,48.67,$8.76,5.56
2022-03-31,76.4,$11.11,6.88
2021-12-31,128.22,$11.39,11.26
2021-09-30,143.48,$11.51,12.47
2021-06-30,116.52,$10.00,11.65
2021-03-31,80.45,$5.90,13.64
2020-12-31,62.66,$4.59,13.65
2020-09-30,42.73,$2.19,19.51
2020-06-30,36.82,$1.79,20.57
2020-03-31,16.99,$1.51,11.25
2019-12-31,41.89,$1.68,24.93
2019-09-30,27.76,$-0.33,0.0
2019-06-30,19.75,$-0.77,0.0
2019-03-31,25.75,$-0.97,0.0
2018-12-31,25.98,$-1.15,0.0
2018-09-30,21.29,$0.16,133.06
2018-06-30,17.61,$0.06,293.5
2018-03-31,16.25,$-0.09,0.0
2017-12-31,12.64,$-0.16,0.0
2017-09-30,9.7,$-0.35,0.0
2017-06-30,7.71,$-0.39,0.0
2017-03-31,7.07,$-0.46,0.0
2016-12-31,6.86,$-1.55,0.0
2016-09-30,8.3,$-1.32,0.0
2016-06-30,11.28,$-1.14,0.0
2015-12-31,10.24,$-1.35,0.0
2015-09-30,12.93,$-1.04,0.0
2015-06-30,14.71,$-0.60,0.0
2015-03-31,11.81,$-0.59,0.0
2014-12-31,12.49,$-0.32,0.0
2016-03-31,9.62,$0.44,21.86
2014-09-30,12.58,$-0.39,0.0
2014-06-30,15.03,$-0.36,0.0
2014-03-31,15.6,$-0.15,0.0
2013-12-31,15.92,$0.12,132.67
2013-09-30,13.6,$0.84,16.19
2013-06-30,16.5,$1.18,13.98
2013-03-31,14.82,$1.46,10.15
2012-12-31,14.39,$1.44,9.99
2012-09-30,16.21,$1.54,10.53
2012-06-30,16.15,$1.38,11.7
2012-03-31,20.92,$1.31,15.97
2011-12-31,14.77,$1.24,11.91
2011-09-30,23.68,$1.23,19.25
2011-06-30,25.75,$1.18,21.82
2011-03-31,17.84,$0.94,18.98
2010-12-31,17.12,$0.77,22.23
2010-09-30,13.0,$0.59,22.03
2010-06-30,10.58,$0.56,18.89
2010-03-31,8.78,$-0.17,0.0
2009-12-31,5.75,$-0.51,0.0
