United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data,United Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.22,,14.42
2024-06-30,32.12,$2.65,12.12
2024-03-31,35.02,$2.62,13.37
2023-12-31,36.36,$2.71,13.42
2023-09-30,26.44,$2.86,9.24
2023-06-30,28.07,$2.91,9.65
2023-03-31,32.95,$2.94,11.21
2022-12-31,37.53,$2.81,13.36
2022-09-30,32.85,$2.63,12.49
2022-06-30,31.91,$2.58,12.37
2022-03-31,31.42,$2.60,12.08
2021-12-31,32.34,$2.83,11.43
2021-09-30,32.1,$2.98,10.77
2021-06-30,31.88,$3.07,10.39
2021-03-31,33.39,$2.78,12.01
2020-12-31,27.8,$2.35,11.83
2020-09-30,18.21,$2.26,8.06
2020-06-30,23.14,$2.11,10.96
2020-03-31,19.05,$2.33,8.18
2019-12-31,31.4,$2.55,12.31
2019-09-30,30.48,$2.55,11.95
2019-06-30,29.6,$2.52,11.74
2019-03-31,28.65,$2.49,11.51
2018-12-31,24.37,$2.46,9.91
2018-09-30,28.18,$2.01,14.02
2018-06-30,27.97,$1.93,14.49
2018-03-31,26.84,$1.67,16.07
2017-12-31,26.22,$1.56,16.81
2017-09-30,27.77,$1.90,14.61
2017-06-30,29.0,$1.90,15.26
2017-03-31,30.99,$1.97,15.73
2016-12-31,33.67,$1.99,16.92
2016-09-30,27.24,$1.96,13.9
2016-06-30,26.89,$1.92,14.01
2016-03-31,26.09,$1.98,13.18
2015-12-31,26.06,$1.98,13.16
2015-09-30,26.53,$1.98,13.4
2015-06-30,27.86,$1.96,14.21
2015-03-31,25.81,$1.94,13.3
2014-12-31,25.5,$1.92,13.28
2014-09-30,20.87,$1.83,11.4
2014-06-30,21.6,$1.79,12.07
2014-03-31,20.26,$1.75,11.57
2013-12-31,20.59,$1.70,12.11
2013-09-30,18.78,$1.73,10.85
2013-06-30,16.96,$1.67,10.15
2013-03-31,16.85,$1.65,10.21
2012-12-31,15.23,$1.64,9.29
2012-09-30,15.4,$1.62,9.51
2012-06-30,15.8,$1.64,9.63
2012-03-31,17.4,$1.62,10.74
2011-12-31,16.86,$1.61,10.47
2011-09-30,11.85,$1.65,7.18
2011-06-30,14.25,$1.65,8.63
2011-03-31,15.23,$1.66,9.18
2010-12-31,16.59,$1.65,10.06
2010-09-30,13.99,$1.61,8.69
2010-06-30,13.29,$1.61,8.26
2010-03-31,14.39,$1.39,10.35
2009-12-31,10.83,$1.67,6.49
