Progyny PE Ratio Historical Data,Progyny PE Ratio Historical Data,Progyny PE Ratio Historical Data,Progyny PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.68,,26.48
2024-06-30,28.61,$0.63,45.41
2024-03-31,38.15,$0.61,62.54
2023-12-31,37.18,$0.62,59.97
2023-09-30,34.02,$0.52,65.42
2023-06-30,39.34,$0.49,80.29
2023-03-31,32.12,$0.43,74.7
2022-12-31,31.15,$0.30,103.83
2022-09-30,37.06,$0.42,88.24
2022-06-30,29.05,$0.46,63.15
2022-03-31,51.4,$0.56,91.79
2021-12-31,50.35,$0.66,76.29
2021-09-30,56.0,$0.90,62.22
2021-06-30,59.0,$0.78,75.64
2021-03-31,44.51,$0.57,78.09
2020-12-31,42.39,$0.46,92.15
2020-09-30,29.43,0,0.0
