Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data,Mercury General PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.13,,11.81
2024-06-30,52.85,$5.77,9.16
2024-03-31,51.0,$3.89,13.11
2023-12-31,36.63,$1.74,21.05
2023-09-30,27.3,$-1.84,0.0
2023-06-30,29.16,$-3.47,0.0
2023-03-31,30.25,$-6.52,0.0
2022-12-31,32.26,$-9.26,0.0
2022-09-30,26.56,$-8.59,0.0
2022-06-30,41.02,$-6.79,0.0
2022-03-31,50.23,$-1.02,0.0
2021-12-31,47.87,$4.47,10.71
2021-09-30,49.63,$6.93,7.16
2021-06-30,57.27,$9.06,6.32
2021-03-31,53.06,$11.21,4.73
2020-12-31,45.08,$6.77,6.66
2020-09-30,35.29,$4.33,8.15
2020-06-30,34.26,$3.43,9.99
2020-03-31,33.73,$0.81,41.64
2019-12-31,39.65,$5.77,6.87
2019-09-30,44.88,$3.72,12.07
2019-06-30,49.64,$3.53,14.06
2019-03-31,39.35,$3.12,12.61
2018-12-31,40.14,$-0.10,0.0
2018-09-30,38.5,$1.74,22.12
2018-06-30,34.56,$1.52,22.73
2018-03-31,34.34,$1.36,25.25
2017-12-31,39.48,$2.62,15.07
2017-09-30,41.39,$1.79,23.12
2017-06-30,39.0,$1.44,27.08
2017-03-31,43.56,$1.39,31.33
2016-12-31,42.55,$1.32,32.24
2016-09-30,38.36,$2.21,17.36
2016-06-30,36.76,$2.00,18.38
2016-03-31,37.92,$1.29,29.4
2015-12-31,31.46,$1.34,23.47
2015-09-30,33.68,$0.54,62.38
2015-06-30,36.65,$0.83,44.16
2015-03-31,37.61,$2.39,15.74
2014-12-31,36.5,$3.24,11.27
2014-09-30,31.09,$3.90,7.97
2014-06-30,29.6,$4.05,7.31
2014-03-31,28.0,$2.15,13.02
2013-12-31,30.45,$2.04,14.93
2013-09-30,29.22,$1.44,20.29
2013-06-30,26.24,$1.93,13.6
2013-03-31,22.32,$2.00,11.16
2012-12-31,22.97,$2.13,10.79
2012-09-30,22.05,$3.90,5.65
2012-06-30,23.41,$2.62,8.94
2012-03-31,24.23,$3.76,6.44
2011-12-31,24.93,$3.48,7.16
2011-09-30,20.67,$1.60,12.92
2011-06-30,20.96,$3.44,6.09
2011-03-31,20.46,$2.73,7.49
2010-12-31,22.14,$2.79,7.93
2010-09-30,20.75,$3.84,5.4
2010-06-30,20.73,$4.92,4.21
2010-03-31,21.57,$6.66,3.24
2009-12-31,19.11,$7.29,2.62
