Vermilion Energy PE Ratio Historical Data,Vermilion Energy PE Ratio Historical Data,Vermilion Energy PE Ratio Historical Data,Vermilion Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.81,,0.0
2024-06-30,10.87,$-3.73,0.0
2024-03-31,12.19,$-2.78,0.0
2023-12-31,11.73,$-1.11,0.0
2023-09-30,14.14,$4.28,3.3
2023-06-30,11.98,$5.26,2.28
2023-03-31,12.4,$6.37,1.95
2022-12-31,16.83,$6.02,2.8
2022-09-30,20.3,$5.93,3.42
2022-06-30,18.01,$3.98,4.53
2022-03-31,19.82,$4.52,4.38
2021-12-31,11.84,$5.64,2.1
2021-09-30,9.31,$3.67,2.54
2021-06-30,8.23,$4.06,2.03
2021-03-31,6.85,$1.51,4.53
2020-12-31,4.19,$-7.22,0.0
2020-09-30,2.2,$-6.93,0.0
2020-06-30,4.19,$-6.65,0.0
2020-03-31,2.93,$-6.31,0.0
2019-12-31,14.54,$0.17,85.54
2019-09-30,14.35,$1.75,8.2
2019-06-30,18.07,$1.72,10.51
2019-03-31,20.08,$1.36,14.77
2018-12-31,16.78,$1.32,12.71
2018-09-30,25.84,$-0.21,0.0
2018-06-30,27.8,$-0.39,0.0
2018-03-31,24.54,$0.26,94.39
2017-12-31,27.2,$0.38,71.59
2017-09-30,26.27,$0.30,87.56
2017-06-30,23.07,$0.47,49.08
2017-03-31,26.89,$-0.20,0.0
2016-12-31,29.86,$-1.04,0.0
2016-09-30,27.11,$-1.97,0.0
2016-06-30,21.96,$-2.45,0.0
2016-03-31,19.86,$-2.03,0.0
2015-12-31,18.11,$-1.46,0.0
2015-09-30,21.12,$-0.08,0.0
2015-06-30,27.95,$0.93,30.06
2015-03-31,26.92,$1.34,20.09
2014-12-31,30.99,$2.23,13.9
2014-09-30,38.02,$2.69,14.13
2014-06-30,43.23,$2.89,14.96
2014-03-31,38.37,$3.44,11.15
2013-12-31,35.66,$3.05,11.69
2013-09-30,33.15,$2.47,13.42
2013-06-30,29.0,$2.21,13.12
2013-03-31,30.42,$1.87,16.27
2012-09-30,27.04,$1.03,26.26
2012-06-30,25.49,$1.42,17.95
2012-03-31,25.89,$1.59,16.28
