International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data,International Seaways PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.08,,4.67
2024-06-30,57.33,$10.50,5.46
2024-03-31,50.09,$10.70,4.68
2023-12-31,41.75,$12.18,3.43
2023-09-30,40.13,$11.78,3.41
2023-06-30,32.96,$11.17,2.95
2022-12-31,29.19,$7.80,3.74
2022-09-30,26.9,$2.72,9.89
2022-06-30,16.18,$3.91,4.14
2022-03-31,13.69,$1.09,12.56
2021-12-31,11.1,$0.68,16.33
2023-03-31,34.36,$0.88,39.05
2021-09-30,13.73,$-6.77,0.0
2021-06-30,13.52,$-4.83,0.0
2021-03-31,13.62,$-1.92,0.0
2020-12-31,11.44,$-0.32,0.0
2020-09-30,10.2,$4.40,2.32
2020-06-30,11.37,$3.52,3.23
2020-03-31,16.57,$0.71,23.34
2019-12-31,20.58,$-0.04,0.0
2019-09-30,13.32,$-0.34,0.0
2019-06-30,13.14,$-1.60,0.0
2019-03-31,11.86,$-1.68,0.0
2018-12-31,11.65,$-3.06,0.0
2018-09-30,13.85,$-6.42,0.0
2018-06-30,16.01,$-5.53,0.0
2018-03-31,12.17,$-5.28,0.0
2017-12-31,12.77,$-3.65,0.0
2017-09-30,13.63,$-2.51,0.0
