Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,49.95,,0.0
2024-06-30,40.91,$-3.26,0.0
2024-03-31,52.81,$-3.10,0.0
2023-12-31,49.39,$3.86,12.8
2023-09-30,55.31,$3.94,14.04
2023-06-30,59.87,$3.76,15.92
2023-03-31,64.37,$3.43,18.77
2022-12-31,66.29,$2.95,22.47
2022-09-30,65.0,$3.07,21.17
2022-06-30,70.41,$3.01,23.39
2022-03-31,66.31,$2.82,23.51
2021-12-31,55.71,$3.12,17.86
2021-09-30,52.87,$-2.40,0.0
2021-06-30,58.78,$-2.27,0.0
2021-03-31,55.53,$-2.78,0.0
2020-12-31,54.15,$-4.01,0.0
2020-09-30,51.82,$-0.11,0.0
2020-06-30,50.16,$-0.10,0.0
2020-03-31,47.17,$0.81,58.23
2019-12-31,53.93,$2.19,24.63
2019-09-30,42.26,$3.47,12.18
2019-06-30,37.46,$3.80,9.86
2019-03-31,39.07,$3.16,12.36
2018-12-31,42.18,$3.03,13.92
2018-09-30,50.06,$0.88,56.88
2018-06-30,44.31,$0.23,192.63
2018-03-31,50.31,$0.56,89.85
2017-12-31,48.43,$0.59,82.09
2017-09-30,50.07,$2.54,19.71
2017-06-30,43.47,$2.75,15.81
2017-03-31,42.12,$2.88,14.62
2016-12-31,44.96,$2.65,16.97
2016-09-30,41.2,$2.04,20.2
2016-06-30,56.2,$1.74,32.3
2016-03-31,48.56,$0.97,50.06
2015-12-31,51.98,$0.97,53.59
2015-09-30,44.49,$1.06,41.97
2015-06-30,49.42,$1.07,46.19
2015-03-31,47.63,$1.35,35.28
2014-12-31,43.59,$1.20,36.33
2014-09-30,37.3,$1.63,22.88
2014-06-30,35.09,$1.62,21.66
2014-03-31,37.32,$1.74,21.45
2013-12-31,38.18,$1.55,24.63
2013-09-30,32.77,$1.67,19.63
2013-06-30,31.4,$0.82,38.29
2013-03-31,28.7,$0.88,32.61
2012-12-31,22.46,$1.15,19.53
2012-09-30,23.03,$1.09,21.13
2012-06-30,24.29,$2.08,11.68
2012-03-31,22.58,$2.22,10.17
2011-12-31,23.35,$2.15,10.86
2011-09-30,20.58,$1.93,10.66
2011-06-30,18.99,$1.92,9.89
2011-03-31,17.14,$1.93,8.88
2010-12-31,16.74,$1.79,9.35
2010-09-30,17.14,$5.57,3.08
2010-06-30,15.59,$5.50,2.83
2010-03-31,16.48,$5.46,3.02
2009-12-31,15.4,$5.35,2.88
