Axcelis Technologies PE Ratio Historical Data,Axcelis Technologies PE Ratio Historical Data,Axcelis Technologies PE Ratio Historical Data,Axcelis Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.79,,12.92
2024-06-30,142.19,$7.26,19.59
2024-03-31,111.52,$7.57,14.73
2023-12-31,129.69,$7.43,17.45
2023-09-30,163.05,$6.99,23.33
2023-06-30,183.33,$6.21,29.52
2023-03-31,133.25,$5.67,23.5
2022-12-31,79.36,$5.46,14.53
2022-09-30,60.56,$4.80,12.62
2022-06-30,54.84,$4.40,12.46
2022-03-31,75.53,$3.63,20.81
2021-12-31,74.56,$2.89,25.8
2021-09-30,47.03,$2.27,20.72
2021-06-30,40.42,$1.78,22.71
2021-03-31,41.09,$1.62,25.36
2020-12-31,29.12,$1.47,19.81
2020-09-30,22.0,$1.33,16.54
2020-06-30,27.85,$1.03,27.04
2020-03-31,18.31,$0.66,27.74
2019-12-31,24.1,$0.51,47.25
2019-09-30,17.09,$0.47,36.36
2019-06-30,15.05,$0.71,21.2
2019-03-31,20.12,$1.12,17.96
2018-12-31,17.8,$1.35,13.19
2018-09-30,19.65,$3.78,5.2
2018-06-30,19.8,$3.87,5.12
2018-03-31,24.6,$3.86,6.37
2017-12-31,28.7,$3.74,7.67
2017-09-30,27.35,$1.19,22.98
2017-06-30,20.95,$0.91,23.02
2017-03-31,18.8,$0.59,31.86
2016-12-31,14.55,$0.38,38.29
2016-09-30,13.28,$0.29,45.79
2016-06-30,10.76,$0.42,25.62
2016-03-31,11.2,$0.52,21.54
2015-12-31,10.36,$0.52,19.92
2015-09-30,10.68,$0.48,22.25
2015-06-30,11.84,$0.12,98.67
2015-03-31,9.52,$-0.32,0.0
2014-12-31,10.24,$-0.40,0.0
2014-09-30,7.96,$-0.36,0.0
2014-06-30,8.0,$-0.36,0.0
2014-03-31,8.6,$-0.28,0.0
2013-12-31,9.76,$-0.60,0.0
2013-09-30,8.44,$-1.20,0.0
2013-06-30,7.28,$-1.36,0.0
2013-03-31,5.0,$-1.20,0.0
2012-12-31,5.52,$-1.24,0.0
2012-09-30,4.2,$-0.76,0.0
2012-06-30,4.8,$-0.40,0.0
2012-03-31,6.88,$-0.24,0.0
2011-12-31,5.32,$0.20,26.6
2011-09-30,4.8,$0.44,10.91
2011-06-30,6.56,$0.16,41.0
2011-03-31,10.6,$-0.16,0.0
2010-12-31,13.84,$-0.68,0.0
2010-09-30,7.72,$-1.24,0.0
2010-06-30,6.2,$-1.60,0.0
2010-03-31,6.64,$-2.32,0.0
2009-12-31,5.64,$-3.00,0.0
