Onto Innovation PE Ratio Historical Data,Onto Innovation PE Ratio Historical Data,Onto Innovation PE Ratio Historical Data,Onto Innovation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,209.67,,62.59
2024-06-30,219.56,$3.35,65.54
2024-03-31,181.08,$2.81,64.44
2023-12-31,152.9,$2.46,62.15
2023-09-30,127.52,$3.19,39.97
2023-06-30,116.47,$3.51,33.18
2023-03-31,87.88,$4.01,21.92
2022-12-31,68.09,$4.49,15.16
2022-09-30,64.05,$4.09,15.66
2022-06-30,69.74,$3.77,18.5
2022-03-31,86.89,$3.45,25.19
2021-12-31,101.23,$2.87,35.27
2021-09-30,72.25,$2.33,31.01
2021-06-30,73.04,$1.76,41.5
2021-03-31,65.71,$1.20,54.76
2020-12-31,47.55,$0.62,76.69
2020-09-30,29.78,$-0.19,0.0
2020-06-30,34.04,$-0.18,0.0
2020-03-31,29.67,$-0.17,0.0
2019-12-31,36.54,$0.04,913.5
2019-09-30,32.62,$0.94,34.7
2019-06-30,34.71,$1.24,27.99
2019-03-31,30.88,$1.80,17.16
2018-12-31,27.33,$2.35,11.63
2018-09-30,37.52,$2.28,16.46
2018-06-30,35.41,$2.03,17.44
2018-03-31,26.9,$1.63,16.5
2017-12-31,24.92,$1.17,21.3
2017-09-30,28.8,$1.79,16.09
2017-06-30,25.29,$1.88,13.45
2017-03-31,30.46,$1.80,16.92
2016-12-31,25.06,$1.73,14.49
2016-09-30,22.34,$0.62,36.03
2016-06-30,20.79,$0.34,61.15
2016-03-31,15.84,$0.16,99.0
2015-12-31,15.14,$0.13,116.46
2015-09-30,12.14,$0.01,0.0
2015-06-30,16.12,$-1.21,0.0
2015-03-31,16.82,$-1.25,0.0
2014-12-31,16.82,$-1.29,0.0
2014-09-30,15.1,$-1.08,0.0
2014-06-30,18.25,$-0.09,0.0
2014-03-31,17.97,$-0.31,0.0
2013-12-31,19.05,$-0.54,0.0
2013-09-30,16.12,$-0.48,0.0
2013-06-30,14.67,$-0.09,0.0
2012-12-31,14.42,$0.18,80.11
2012-09-30,13.81,$0.32,43.16
2012-06-30,15.36,0,0.0
2012-03-31,18.51,$0.13,142.38
2011-12-31,18.42,$0.53,34.75
2013-03-31,14.43,$1.00,14.43
2011-09-30,14.5,$2.36,6.14
2011-06-30,18.99,$2.57,7.39
2011-03-31,18.09,$2.61,6.93
2010-12-31,12.83,$2.42,5.3
2010-09-30,15.05,$1.29,11.67
2010-06-30,10.09,$0.84,12.01
2010-03-31,9.48,$-0.05,0.0
2009-12-31,11.33,$-0.89,0.0
