First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data,First Hawaiian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.67,,14.26
2024-06-30,20.53,$1.73,11.87
2024-03-31,21.47,$1.74,12.34
2023-12-31,22.08,$1.84,12.0
2023-09-30,17.21,$2.09,8.23
2023-06-30,16.94,$2.17,7.81
2023-03-31,19.1,$2.14,8.93
2022-12-31,23.88,$2.07,11.54
2022-09-30,22.36,$1.89,11.83
2022-06-30,20.42,$1.85,11.04
2022-03-31,24.82,$2.06,12.05
2021-12-31,24.1,$2.05,11.76
2021-09-30,25.64,$2.08,12.33
2021-06-30,24.52,$2.08,11.79
2021-03-31,23.47,$1.56,15.04
2020-12-31,20.03,$1.42,14.11
2020-09-30,12.14,$1.47,8.26
2020-06-30,14.24,$1.53,9.31
2020-03-31,13.44,$1.92,7.0
2019-12-31,23.24,$2.14,10.86
2019-09-30,21.31,$2.06,10.34
2019-06-30,20.43,$2.00,10.21
2019-03-31,20.37,$1.96,10.39
2018-12-31,17.43,$1.93,9.03
2018-09-30,20.83,$1.57,13.27
2018-06-30,22.08,$1.49,14.82
2018-03-31,21.0,$1.40,15.0
2017-12-31,21.83,$1.32,16.54
2017-09-30,22.48,$1.65,13.63
2017-06-30,22.55,$1.61,14.01
