Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,115.46,,24.05
2024-06-30,108.53,$4.80,22.61
2024-03-31,131.69,$4.62,28.5
2023-12-31,121.21,$4.89,24.79
2023-09-30,111.55,$2.26,49.36
2023-06-30,144.42,$2.41,59.93
2023-03-31,127.94,$2.14,59.79
2022-12-31,126.02,$1.10,114.56
2022-09-30,103.14,$1.32,78.14
2022-06-30,103.41,$1.09,94.87
2022-03-31,125.61,$1.03,121.96
2021-12-31,124.53,$1.90,65.54
2021-09-30,143.2,$3.89,36.81
2021-06-30,157.1,$4.36,36.03
2021-03-31,156.15,$2.69,58.05
2020-12-31,150.08,$-0.71,0.0
2020-09-30,132.39,$-0.76,0.0
2020-06-30,115.86,$0.16,724.13
2020-03-31,97.91,$1.81,54.1
2019-12-31,144.65,$5.47,26.44
2019-09-30,132.44,$-0.49,0.0
2019-06-30,113.4,$-1.78,0.0
2019-03-31,122.73,$-1.53,0.0
2018-12-31,99.5,$-1.88,0.0
2018-09-30,125.82,$8.70,14.46
2018-06-30,106.45,$8.39,12.69
2018-03-31,103.94,$8.39,12.39
2017-12-31,114.77,$9.01,12.74
2017-09-30,111.15,$3.18,34.95
2017-06-30,121.62,$3.48,34.95
2017-03-31,115.45,$2.42,47.71
2016-12-31,97.38,$1.47,66.24
2016-09-30,122.4,$1.28,95.62
2016-06-30,113.11,$0.61,185.43
2016-03-31,99.99,$-0.14,0.0
2015-12-31,95.98,$0.36,266.62
2015-09-30,87.69,$1.13,77.6
2015-06-30,101.74,$1.98,51.38
2015-03-31,109.24,$3.92,27.87
2014-12-31,105.24,$4.19,25.12
2014-09-30,93.11,$4.64,20.07
2014-06-30,95.98,$4.58,20.96
2014-03-31,87.22,$4.44,19.64
2013-12-31,85.73,$4.43,19.35
2013-09-30,75.41,$3.95,19.09
2013-06-30,68.63,$4.07,16.86
2013-03-31,68.7,$4.40,15.61
2012-12-31,60.72,$4.29,14.15
2012-09-30,61.43,$4.28,14.35
2012-06-30,58.31,$4.27,13.66
2012-03-31,58.07,$4.11,14.13
2011-12-31,48.12,$4.02,11.97
2011-09-30,48.18,$3.33,14.47
2011-06-30,56.93,$3.28,17.36
2011-03-31,54.53,$3.04,17.94
2010-12-31,48.36,$2.70,17.91
2010-09-30,47.14,$3.22,14.64
2010-06-30,48.69,$3.24,15.03
2009-12-31,53.25,$3.33,15.99
2009-09-30,48.15,$3.60,13.37
