Endeavour Silver PE Ratio Historical Data,Endeavour Silver PE Ratio Historical Data,Endeavour Silver PE Ratio Historical Data,Endeavour Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.25,,0.0
2024-06-30,3.52,$-0.07,0.0
2024-03-31,2.41,$-0.02,0.0
2023-12-31,1.97,$0.02,98.5
2023-09-30,2.43,$0.05,48.6
2023-06-30,2.89,$0.05,57.8
2023-03-31,3.88,$-0.01,0.0
2022-12-31,3.24,$0.03,108.0
2022-09-30,3.02,$-0.01,0.0
2022-06-30,3.14,$-0.03,0.0
2022-03-31,4.65,$0.08,58.13
2021-12-31,4.22,$0.08,52.75
2021-09-30,4.09,$0.21,19.48
2021-06-30,6.12,$0.24,25.5
2021-03-31,4.96,$0.18,27.56
2020-12-31,5.04,0,0.0
2020-09-30,3.51,$-0.26,0.0
2020-06-30,2.28,$-0.31,0.0
2020-03-31,1.34,$-0.37,0.0
2019-12-31,2.41,$-0.36,0.0
2019-09-30,2.22,$-0.26,0.0
2019-06-30,2.05,$-0.25,0.0
2019-03-31,2.52,$-0.21,0.0
2018-12-31,2.15,$-0.09,0.0
2018-09-30,2.31,$-0.04,0.0
2018-06-30,3.12,$0.01,312.0
2018-03-31,2.43,$0.05,48.6
2017-12-31,2.39,$0.08,29.88
2017-09-30,2.38,$0.02,119.0
2017-06-30,3.05,$0.05,61.0
2017-03-31,3.18,$0.06,53.0
2016-12-31,3.52,$0.03,117.33
2016-09-30,5.13,$-1.26,0.0
2016-06-30,3.95,$-1.44,0.0
2016-03-31,2.46,$-1.46,0.0
2015-12-31,1.42,$-1.47,0.0
2015-09-30,1.55,$-0.81,0.0
2015-06-30,1.99,$-0.78,0.0
2015-03-31,1.9,$-0.77,0.0
2014-12-31,2.16,$-0.74,0.0
2014-09-30,4.37,$-1.23,0.0
2014-06-30,5.46,$-1.00,0.0
2014-03-31,4.31,$-1.00,0.0
2013-12-31,3.63,$-0.91,0.0
2013-09-30,4.3,$0.40,10.75
2013-06-30,3.43,$0.28,12.25
2013-03-31,6.22,$0.34,18.29
2012-12-31,7.89,$0.43,18.35
2012-09-30,9.98,$0.25,39.92
2012-06-30,8.12,$0.29,28.0
2012-03-31,9.48,$0.43,22.05
2011-12-31,9.71,$0.22,44.14
2011-09-30,8.98,$0.33,27.21
2011-06-30,8.4,$0.29,28.97
2011-03-31,9.82,$0.08,122.75
2010-12-31,7.34,$0.10,73.4
2010-09-30,4.03,$0.08,50.38
2010-06-30,3.38,$0.05,67.6
2010-03-31,3.21,$0.02,160.5
2009-12-31,3.64,$-0.04,0.0
