ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data,ManpowerGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.05,,209.53
2024-09-30,73.52,$0.32,229.75
2024-06-30,69.8,$0.92,75.87
2024-03-31,77.64,$0.97,80.04
2023-12-31,79.47,$1.67,47.59
2023-09-30,71.9,$4.35,16.53
2023-06-30,77.86,$5.88,13.24
2023-03-31,79.27,$6.88,11.52
2022-12-31,79.92,$7.05,11.34
2022-09-30,61.18,$8.12,7.53
2022-06-30,72.27,$7.76,9.31
2022-03-31,87.5,$7.49,11.68
2021-12-31,90.67,$6.92,13.1
2021-09-30,99.48,$6.23,15.97
2021-06-30,109.24,$4.64,23.54
2021-03-31,89.92,$1.52,59.16
2020-12-31,81.99,$0.44,186.35
2020-09-30,65.79,$1.44,45.68
2020-06-30,61.68,$3.68,16.76
2020-03-31,46.8,$6.89,6.79
2019-12-31,85.76,$7.74,11.08
2019-09-30,73.54,$7.95,9.25
2019-06-30,84.32,$7.96,10.59
2019-03-31,71.27,$8.02,8.89
2018-12-31,55.85,$8.59,6.5
2018-09-30,73.18,$9.27,7.89
2018-06-30,73.27,$8.88,8.25
2018-03-31,96.9,$8.43,11.5
2017-12-31,106.17,$8.07,13.16
2017-09-30,98.48,$6.72,14.66
2017-06-30,93.33,$6.55,14.25
2017-03-31,84.95,$6.43,13.21
2016-12-31,73.6,$6.32,11.65
2016-09-30,59.25,$6.11,9.7
2016-06-30,52.75,$5.85,9.02
2016-03-31,66.04,$5.58,11.84
2015-12-31,68.37,$5.43,12.59
2015-09-30,65.84,$5.24,12.57
2015-06-30,71.87,$5.24,13.71
2015-03-31,68.63,$5.26,13.05
2014-12-31,54.3,$5.29,10.27
2014-09-30,55.45,$5.07,10.94
2014-06-30,67.11,$4.64,14.46
2014-03-31,61.98,$4.16,14.9
2013-12-31,67.51,$3.61,18.7
2013-09-30,56.87,$3.04,18.71
2013-06-30,42.84,$2.65,16.17
2013-03-31,43.98,$2.29,19.21
2012-12-31,32.91,$2.48,13.27
2012-09-30,28.22,$2.58,10.94
2012-06-30,28.11,$2.76,10.18
2012-03-31,35.89,$3.12,11.5
2011-12-31,27.09,$3.05,8.88
2011-09-30,25.2,$-2.02,0.0
2011-06-30,40.21,$-2.37,0.0
2011-03-31,46.81,$-2.84,0.0
2010-12-31,46.72,$-3.23,0.0
2010-09-30,38.61,$1.42,27.19
2010-06-30,31.94,$0.16,199.63
2010-03-31,41.9,$0.01,0.0
2009-12-31,40.04,0,0.0
