Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data,Acuity Brands Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,306.58,,22.81
2024-08-31,254.7,$13.44,18.95
2024-05-31,259.46,$12.30,21.09
2024-02-29,250.94,$11.96,20.98
2023-11-30,178.94,$11.69,15.31
2023-08-31,160.87,$10.77,14.94
2023-05-31,150.19,$11.62,12.93
2023-02-28,193.16,$11.41,16.93
2022-11-30,187.39,$10.97,17.08
2022-08-31,163.01,$11.14,14.63
2022-05-31,173.9,$10.38,16.75
2022-02-28,181.07,$9.68,18.71
2021-11-30,199.79,$9.29,21.51
2021-08-31,182.98,$8.40,21.78
2021-05-31,184.05,$7.55,24.38
2021-02-28,122.08,$6.70,18.22
2020-11-30,117.41,$6.40,18.35
2020-08-31,107.94,$6.27,17.22
2020-05-31,84.97,$6.82,12.46
2020-02-29,101.29,$7.52,13.47
2019-11-30,128.65,$7.75,16.6
2019-08-31,123.24,$8.29,14.87
2019-05-31,121.41,$8.57,14.17
2019-02-28,127.62,$8.15,15.66
2018-11-30,127.39,$8.81,14.46
2018-08-31,149.59,$8.53,17.54
2018-05-31,115.62,$7.98,14.49
2018-02-28,139.27,$8.08,17.24
2017-11-30,167.31,$7.28,22.98
2017-08-31,172.41,$7.44,23.17
2017-05-31,158.78,$7.18,22.11
2017-02-28,205.78,$6.97,29.52
2016-11-30,244.69,$6.93,35.31
2016-08-31,267.63,$6.45,41.49
2016-05-31,251.86,$6.04,41.7
2016-02-29,203.52,$5.42,37.55
2015-08-31,189.13,$5.10,37.08
2015-05-31,171.18,$4.98,34.37
2015-02-28,153.59,$5.07,30.29
2014-11-30,133.82,$5.01,26.71
2014-08-31,119.83,$4.59,26.11
2015-11-30,224.23,$4.36,51.43
2014-05-31,121.27,$3.82,31.75
2014-02-28,136.14,$3.54,38.46
2013-11-30,98.86,$3.36,29.42
2013-08-31,82.33,$2.94,28.0
2013-05-31,72.18,$2.69,26.83
2013-02-28,65.38,$2.75,23.78
2012-11-30,63.36,$2.64,24.0
2012-08-31,61.33,$2.73,22.46
2012-05-31,51.98,$2.74,18.97
2012-02-29,59.17,$2.57,23.02
2011-11-30,47.7,$2.56,18.63
2011-08-31,43.58,$2.42,18.01
2011-05-31,57.56,$2.25,25.58
2011-02-28,53.25,$2.11,25.24
2010-11-30,50.62,$1.84,27.51
2010-08-31,36.32,$1.81,20.06
2010-05-31,38.44,$1.87,20.55
2010-02-28,36.32,$1.92,18.92
2009-11-30,29.98,$2.09,14.34
