Warner Music Group PE Ratio Historical Data,Warner Music Group PE Ratio Historical Data,Warner Music Group PE Ratio Historical Data,Warner Music Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.28,,31.04
2024-06-30,30.65,$1.04,29.47
2024-03-31,33.02,$1.00,33.02
2023-12-31,35.79,$0.88,40.67
2023-09-30,31.4,$0.81,38.77
2023-06-30,26.09,$0.80,32.61
2023-03-31,33.37,$0.81,41.2
2022-12-31,35.02,$0.93,37.66
2022-09-30,23.21,$1.06,21.9
2022-06-30,24.22,$0.83,29.18
2022-03-31,37.45,$0.71,52.75
2021-12-31,42.55,$0.75,56.73
2021-09-30,41.97,$0.57,73.63
2021-06-30,35.24,$0.52,67.77
2021-03-31,33.45,$-0.63,0.0
