Boston Beer PE Ratio Historical Data,Boston Beer PE Ratio Historical Data,Boston Beer PE Ratio Historical Data,Boston Beer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,293.9,,38.47
2024-06-30,305.05,$7.64,39.93
2024-03-31,304.42,$7.97,38.2
2023-12-31,345.59,$6.20,55.74
2023-09-30,389.53,$6.76,57.62
2023-06-30,308.44,$5.27,58.53
2023-03-31,328.7,$4.86,67.63
2022-12-31,329.52,$5.43,60.69
2022-09-30,323.65,$2.14,151.24
2022-06-30,302.97,$-4.83,0.0
2022-03-31,388.47,$-4.39,0.0
2021-12-31,505.1,$1.03,490.39
2021-09-30,509.75,$7.89,64.61
2021-06-30,1020.8,$19.16,53.28
2021-03-31,1206.28,$19.29,62.53
2020-12-31,994.29,$15.52,64.07
2020-09-30,883.36,$14.00,63.1
2020-06-30,536.65,$11.14,48.17
2020-03-31,367.56,$8.62,42.64
2019-12-31,377.85,$9.15,41.3
2019-09-30,364.08,$9.89,36.81
2019-06-30,377.76,$9.45,39.97
2019-03-31,294.73,$9.07,32.5
2018-12-31,240.84,$7.83,30.76
2018-09-30,287.5,$8.54,33.67
2018-06-30,299.7,$8.11,36.95
2018-03-31,189.05,$8.48,22.29
2017-12-31,191.1,$8.15,23.45
2017-09-30,156.2,$7.33,21.31
2017-06-30,132.15,$7.03,18.8
2017-03-31,144.65,$6.74,21.46
2016-12-31,169.85,$6.82,24.9
2016-09-30,155.26,$6.28,24.72
2016-06-30,171.03,$6.65,25.72
2016-03-31,185.07,$6.78,27.3
2015-12-31,201.91,$7.25,27.85
2015-09-30,210.61,$7.44,28.31
2015-06-30,231.99,$7.38,31.43
2015-03-31,267.4,$7.07,37.82
2014-12-31,289.54,$6.69,43.28
2014-09-30,221.76,$6.62,33.5
2014-06-30,223.52,$5.72,39.08
2014-03-31,244.73,$5.29,46.26
2013-12-31,241.79,$5.18,46.68
2013-09-30,244.21,$5.10,47.88
2013-06-30,170.64,$4.74,36.0
2013-03-31,159.64,$4.35,36.7
2012-12-31,134.45,$4.40,30.56
2012-09-30,111.97,$4.48,24.99
2012-06-30,121.0,$4.14,29.23
2012-03-31,106.79,$5.09,20.98
2011-12-31,108.56,$4.81,22.57
2011-09-30,72.7,$4.35,16.71
2011-06-30,89.6,$4.25,21.08
2011-03-31,92.62,$3.37,27.48
2010-12-31,95.09,$3.53,26.94
2010-09-30,66.87,$3.18,21.03
2010-06-30,67.45,$2.81,24.0
2010-03-31,52.26,$2.51,20.82
2009-12-31,46.6,$2.17,21.47
