Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data,Bread Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.81,,5.47
2024-06-30,44.38,$9.65,4.6
2024-03-31,36.9,$7.94,4.65
2023-12-31,32.44,$14.32,2.27
2023-09-30,33.68,$10.77,3.13
2023-06-30,30.76,$10.04,3.06
2023-03-31,29.47,$9.34,3.16
2022-12-31,36.42,$4.46,8.17
2022-09-30,30.26,$7.48,4.05
2022-06-30,35.49,$9.26,3.83
2022-03-31,53.53,$14.48,3.7
2021-12-31,63.28,$16.02,3.95
2021-09-30,95.65,$15.93,6.0
2021-06-30,98.56,$14.25,6.92
2021-03-31,105.84,$9.59,11.04
2020-12-31,69.79,$4.48,15.58
2020-09-30,39.41,$6.97,5.65
2020-06-30,42.17,$2.05,20.57
2020-03-31,31.27,$3.88,8.06
2019-12-31,103.63,$6.05,17.13
2019-09-30,117.66,$8.56,13.74
2019-06-30,128.01,$16.08,7.96
2019-03-31,159.15,$17.37,9.16
2018-12-31,136.01,$17.52,7.76
2018-09-30,213.42,$17.15,12.44
2018-06-30,210.22,$15.96,13.17
2018-03-31,191.36,$14.50,13.2
2017-12-31,227.35,$14.13,16.09
2017-09-30,198.25,$9.43,21.02
2017-06-30,229.16,$8.78,26.1
2017-03-31,221.84,$7.55,29.38
2016-12-31,203.11,$7.32,27.75
2016-09-30,190.2,$9.45,20.13
2016-06-30,173.7,$7.98,21.77
2016-03-31,195.05,$8.85,22.04
2015-12-31,245.21,$8.82,27.8
2015-09-30,229.61,$7.37,31.15
2015-06-30,258.83,$8.03,32.23
2015-03-31,262.65,$8.11,32.39
2014-12-31,253.61,$7.87,32.22
2014-09-30,220.11,$8.80,25.01
2014-06-30,249.35,$8.07,30.9
2014-03-31,241.55,$7.59,31.83
2013-12-31,233.11,$7.43,31.37
2013-09-30,187.49,$6.91,27.13
2013-06-30,160.5,$6.74,23.81
2013-03-31,143.53,$6.66,21.55
2012-12-31,128.34,$6.60,19.45
2012-09-30,125.85,$6.45,19.51
2012-06-30,119.69,$6.21,19.27
2012-03-31,111.68,$5.77,19.35
2011-12-31,92.06,$5.47,16.83
2011-09-30,82.19,$5.19,15.84
2011-06-30,83.4,$4.55,18.33
2011-03-31,76.15,$4.19,18.17
2010-12-31,62.97,$3.35,18.8
2010-09-30,57.86,$3.34,17.32
2010-06-30,52.77,$2.89,18.26
2009-12-31,57.27,$2.51,22.81
2009-09-30,54.15,$2.63,20.59
