Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data,Cal-Maine Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.4,,16.59
2024-05-31,60.99,$5.69,10.72
2024-02-29,55.85,$5.64,9.9
2023-11-30,46.45,$5.70,8.15
2023-08-31,46.32,$11.97,3.87
2023-05-31,45.33,$16.02,2.83
2024-08-31,72.04,$16.32,4.41
2023-02-28,51.86,$15.51,3.34
2022-11-30,51.91,$9.70,5.35
2022-08-31,47.07,$5.26,8.95
2022-05-31,41.3,$2.60,15.89
2022-02-28,38.22,$0.63,60.66
2021-08-31,31.22,$0.07,445.96
2021-05-31,30.14,$0.04,753.45
2021-02-28,32.86,$1.37,23.99
2020-11-30,33.75,$1.11,30.41
2020-08-31,33.28,$1.14,29.2
2020-05-31,38.43,$1.33,28.9
2021-11-30,31.13,$-0.85,0.0
2020-02-29,30.09,$-1.28,0.0
2019-11-30,37.55,$-0.74,0.0
2019-08-31,34.97,$-0.08,0.0
2019-05-31,31.93,$1.12,28.51
2019-02-28,37.79,$3.01,12.55
2018-11-30,39.89,$4.18,9.54
2018-08-31,42.15,$3.19,13.21
2018-05-31,40.64,$2.60,15.63
2018-02-28,36.03,$0.61,59.06
2017-11-30,42.07,$-1.29,0.0
2017-08-31,30.83,$-1.23,0.0
2017-05-31,31.46,$-1.54,0.0
2017-02-28,32.09,$-1.04,0.0
2016-11-30,34.42,$0.20,172.1
2016-08-31,38.85,$2.94,13.21
2016-05-31,37.63,$6.53,5.76
2016-02-29,44.75,$7.49,5.97
2015-11-30,44.99,$7.21,6.24
2015-08-31,43.09,$5.71,7.55
2015-05-31,45.72,$3.41,13.41
2015-02-28,30.09,$3.35,9.0
2014-11-30,33.26,$2.84,11.73
2014-05-31,27.42,$2.26,12.16
2014-02-28,20.46,$1.53,13.42
2013-11-30,21.24,$1.21,17.55
2013-08-31,17.61,$1.31,13.5
2013-05-31,17.27,$1.43,12.12
2014-08-31,31.27,$1.70,18.4
2013-02-28,15.47,$1.91,8.1
2012-11-30,17.48,$1.82,9.61
2012-08-31,15.24,$2.01,7.6
2012-05-31,13.3,$1.88,7.09
2012-02-29,14.25,$1.25,11.45
2011-11-30,12.43,$1.40,8.88
2011-08-31,11.9,$1.23,9.68
2011-05-31,10.89,$1.27,8.61
2011-02-28,10.38,$1.56,6.67
2010-11-30,10.94,$1.58,6.93
2010-08-31,10.57,$1.60,6.6
2010-05-31,11.42,$1.42,8.04
2010-02-28,11.15,$1.20,9.33
2009-11-30,9.5,$1.12,8.52
