Banner PE Ratio Historical Data,Banner PE Ratio Historical Data,Banner PE Ratio Historical Data,Banner PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.93,,19.52
2024-09-30,59.56,$3.48,17.11
2024-06-30,49.19,$4.81,10.23
2024-03-31,47.06,$4.81,9.78
2023-12-31,51.95,$5.33,9.75
2023-09-30,40.66,$5.67,7.17
2023-06-30,41.48,$5.77,7.19
2023-03-31,51.13,$6.01,8.51
2022-12-31,59.0,$5.67,10.41
2022-09-30,54.83,$5.53,9.92
2022-06-30,51.8,$5.54,9.35
2022-03-31,53.5,$5.71,9.37
2021-12-31,55.05,$5.77,9.54
2021-09-30,49.76,$5.43,9.16
2021-06-30,48.47,$5.02,9.66
2021-03-31,47.35,$4.13,11.46
2020-12-31,41.0,$3.27,12.54
2020-09-30,28.09,$3.12,9.0
2020-06-30,32.7,$3.24,10.09
2020-03-31,28.08,$3.71,7.57
2019-12-31,46.88,$4.19,11.19
2019-09-30,46.17,$4.33,10.66
2019-06-30,44.17,$4.35,10.15
2019-03-31,43.87,$4.21,10.42
2018-12-31,43.0,$4.15,10.36
2018-09-30,49.68,$2.65,18.75
2018-06-30,47.4,$2.24,21.16
2018-03-31,43.46,$2.01,21.62
2017-12-31,42.98,$1.84,23.36
2017-09-30,47.59,$2.94,16.19
2017-06-30,42.93,$2.88,14.91
2017-03-31,42.07,$2.72,15.47
2016-12-31,42.03,$2.52,16.68
2016-09-30,32.77,$2.03,16.14
2016-06-30,31.71,$1.95,16.26
2016-03-31,31.17,$1.98,15.74
2015-12-31,34.01,$2.07,16.43
2015-09-30,35.15,$2.47,14.23
2015-06-30,35.14,$2.61,13.46
2015-03-31,33.52,$2.85,11.76
2014-12-31,31.41,$2.78,11.3
2014-09-30,27.84,$2.78,10.02
2014-06-30,28.55,$2.62,10.9
2014-03-31,29.56,$2.34,12.63
2013-12-31,32.15,$2.40,13.4
2013-09-30,27.17,$2.49,10.91
2013-06-30,23.98,$2.68,8.95
2013-03-31,22.5,$3.35,6.72
2012-12-31,21.72,$3.15,6.89
2012-09-30,19.18,$2.64,7.26
2012-06-30,15.47,$2.09,7.4
2012-03-31,15.55,$0.83,18.73
2011-12-31,12.1,$-0.20,0.0
2011-09-30,9.01,$-1.29,0.0
2011-06-30,12.33,$-4.33,0.0
2011-03-31,11.59,$-6.30,0.0
2010-12-31,11.34,$-6.79,0.0
2010-09-30,10.5,$-7.77,0.0
2010-06-30,9.58,$-8.05,0.0
2010-03-31,18.55,$-13.37,0.0
2009-12-31,12.9,$-16.80,0.0
