NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,256.36,,23.96
2024-06-30,269.09,$10.70,25.15
2024-03-31,246.86,$10.83,22.79
2023-12-31,227.88,$10.71,21.28
2023-09-30,197.44,$10.79,18.3
2023-06-30,201.12,$10.57,19.03
2023-03-31,182.29,$10.43,17.48
2022-12-31,153.61,$10.56,14.55
2022-09-30,142.68,$10.04,14.21
2022-06-30,142.43,$9.16,15.55
2022-03-31,177.19,$8.05,22.01
2021-12-31,217.0,$6.82,31.82
2021-09-30,186.13,$5.66,32.88
2021-06-30,194.97,$3.67,53.12
2021-03-31,190.29,$1.48,128.57
2020-12-31,149.82,$0.15,998.83
2020-09-30,117.32,$-0.53,0.0
2020-06-30,106.88,$-0.07,0.0
2020-03-31,77.45,$0.84,92.2
2019-12-31,118.39,$0.85,139.28
2019-09-30,101.2,$1.39,72.81
2019-06-30,90.22,$6.61,13.65
2019-03-31,81.49,$6.63,12.29
2018-12-31,67.38,$6.87,9.81
2018-09-30,78.36,$6.07,12.91
2018-06-30,99.87,$4.26,23.44
2018-03-31,106.94,$4.47,23.92
2017-06-30,100.04,$4.56,21.94
2017-03-31,94.6,$4.38,21.6
2016-12-31,89.58,$-0.57,0.0
2016-09-30,93.24,$2.62,35.59
2016-06-30,71.6,$4.53,15.81
2016-03-31,74.1,$6.06,12.23
2015-12-31,77.01,$8.45,9.11
2017-12-31,107.02,$4.43,24.16
2015-09-30,79.58,$2.87,27.73
2015-06-30,89.76,$1.87,48.0
2015-03-31,91.73,$1.28,71.66
2014-12-31,69.83,$2.17,32.18
2014-09-30,62.55,$1.93,32.41
2014-06-30,60.49,$2.04,29.65
2014-03-31,53.75,$1.83,29.37
2013-12-31,41.98,$1.34,31.33
2013-09-30,34.01,$0.50,68.02
2013-06-30,28.35,$0.35,81.01
2013-03-31,27.69,$0.25,110.74
2012-12-31,24.06,$0.21,114.56
2012-09-30,22.86,$-0.05,0.0
2012-06-30,21.23,$-0.19,0.0
2012-03-31,24.32,$0.69,35.25
2011-12-31,14.05,$1.12,12.54
2017-09-30,103.36,$2.58,40.06
2011-09-30,12.91,$1.80,7.17
2011-06-30,24.43,$2.14,11.42
