Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data,Patrick Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,145.76,,20.91
2024-06-30,108.1,$6.97,15.51
2024-03-31,118.4,$6.75,17.54
2023-12-31,98.96,$6.51,15.2
2023-09-30,73.55,$6.78,10.85
2023-06-30,77.95,$7.40,10.53
2023-03-31,66.66,$10.25,6.5
2022-12-31,58.35,$13.44,4.34
2022-09-30,41.87,$14.38,2.91
2022-06-30,49.22,$14.40,3.42
2022-03-31,56.94,$12.13,4.69
2021-12-31,75.83,$9.63,7.87
2021-09-30,77.96,$8.65,9.01
2021-06-30,68.1,$7.82,8.71
2021-03-31,79.03,$5.33,14.83
2020-12-31,63.34,$4.20,15.08
2020-09-30,53.08,$3.42,15.52
2020-06-30,56.28,$2.72,20.69
2020-03-31,25.75,$3.87,6.65
2019-12-31,47.69,$4.11,11.6
2019-09-30,38.82,$4.40,8.82
2019-06-30,44.53,$4.90,9.09
2018-12-31,26.81,$4.92,5.45
2018-09-30,53.59,$4.93,10.87
2018-06-30,51.46,$4.68,11.0
2018-03-31,55.99,$3.98,14.07
2017-12-31,62.87,$3.63,17.3
2019-03-31,41.03,$3.22,12.74
2017-09-30,50.76,$2.91,17.42
2017-06-30,43.97,$2.72,16.16
2017-03-31,42.79,$2.60,16.46
2016-12-31,46.05,$2.39,19.29
2016-09-30,37.37,$2.31,16.15
2016-06-30,36.39,$2.17,16.74
2016-03-31,27.39,$1.96,13.98
2015-12-31,26.25,$1.82,14.41
2015-09-30,23.83,$1.61,14.81
2015-06-30,22.96,$1.52,15.06
2015-03-31,25.05,$1.39,18.07
2014-12-31,17.7,$1.28,13.87
2014-09-30,17.04,$1.18,14.47
2014-06-30,18.75,$1.10,17.01
2014-03-31,17.84,$1.03,17.3
2013-12-31,11.64,$0.99,11.74
2013-09-30,12.09,$0.92,13.21
2013-06-30,8.36,$0.96,8.75
2013-03-31,6.34,$1.19,5.34
2012-12-31,6.26,$1.00,6.23
2012-09-30,6.22,$1.07,5.84
2012-06-30,5.13,$0.96,5.34
2011-12-31,1.65,$0.36,4.58
2011-09-30,0.75,$0.25,2.95
2011-06-30,0.84,$0.27,3.15
2011-03-31,1.1,$0.08,14.52
2010-12-31,0.76,$0.22,3.5
2012-03-31,4.89,$0.30,16.18
2010-09-30,0.86,$0.13,6.43
2010-06-30,0.74,$0.13,5.58
2010-03-31,1.17,$0.02,65.55
2009-12-31,0.98,$-0.22,0.0
