Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data,Walker & Dunlop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,116.31,,44.91
2024-06-30,97.58,$2.59,37.68
2024-03-31,99.79,$2.74,36.42
2023-12-31,108.87,$3.18,34.24
2023-09-30,72.26,$3.49,20.7
2023-06-30,76.41,$4.25,17.98
2023-03-31,72.95,$5.04,14.47
2022-12-31,74.61,$6.37,11.71
2022-09-30,79.04,$7.55,10.47
2022-06-30,90.46,$8.36,10.82
2022-03-31,120.81,$8.48,14.25
2021-12-31,140.23,$8.15,17.21
2021-09-30,105.14,$8.32,12.64
2021-06-30,96.2,$7.77,12.38
2021-03-31,94.21,$7.99,11.79
2020-12-31,83.97,$7.69,10.92
2020-09-30,48.13,$6.44,7.47
2020-06-30,45.84,$6.17,7.43
2020-03-31,35.99,$5.55,6.49
2019-12-31,57.53,$5.45,10.56
2019-09-30,49.52,$5.55,8.92
2019-06-30,46.86,$5.33,8.79
2019-03-31,44.59,$5.28,8.44
2018-12-31,37.68,$5.05,7.46
2018-09-30,45.83,$6.67,6.87
2018-06-30,48.01,$6.56,7.32
2018-03-31,51.02,$6.36,8.02
2017-12-31,40.58,$6.55,6.2
2017-09-30,44.71,$4.65,9.61
2017-06-30,41.72,$4.55,9.17
2017-03-31,35.62,$4.52,7.88
2016-12-31,26.66,$3.67,7.26
2016-09-30,21.58,$3.18,6.79
2016-06-30,19.46,$2.88,6.76
2016-03-31,20.73,$2.50,8.29
2015-12-31,24.61,$2.66,9.25
2015-09-30,22.28,$2.49,8.95
2015-06-30,22.84,$2.30,9.93
2015-03-31,15.15,$2.03,7.46
2014-12-31,14.98,$1.58,9.48
2014-09-30,11.35,$1.41,8.05
2014-06-30,12.05,$1.17,10.3
2014-03-31,13.97,$1.19,11.74
2013-12-31,13.81,$1.21,11.42
2013-09-30,13.59,$1.22,11.14
2013-06-30,14.95,$1.27,11.77
2013-03-31,15.35,$1.27,12.09
2012-12-31,14.23,$1.31,10.86
2012-09-30,13.13,$1.47,8.93
2012-06-30,10.98,$1.47,7.47
2012-03-31,10.76,$1.56,6.9
2011-12-31,10.73,$1.60,6.71
2011-09-30,9.93,$-0.24,0.0
