QuinStreet PE Ratio Historical Data,QuinStreet PE Ratio Historical Data,QuinStreet PE Ratio Historical Data,QuinStreet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.23,,0.0
2024-06-30,16.59,$-0.57,0.0
2024-03-31,17.66,$-1.56,0.0
2023-12-31,12.82,$-1.44,0.0
2023-09-30,8.97,$-1.38,0.0
2023-06-30,8.83,$-1.27,0.0
2023-03-31,15.87,$-0.33,0.0
2022-12-31,14.35,$-0.28,0.0
2022-09-30,10.5,$-0.23,0.0
2022-06-30,10.06,$-0.09,0.0
2022-03-31,11.6,$0.07,165.71
2021-12-31,18.19,$0.12,151.58
2021-09-30,17.56,$0.23,76.35
2021-06-30,18.58,$0.44,42.23
2021-03-31,20.3,$0.40,50.75
2020-12-31,21.44,$0.57,37.61
2020-09-30,15.84,$0.59,26.85
2020-06-30,10.46,$0.34,30.76
2020-03-31,8.05,$0.37,21.76
2019-12-31,15.31,$0.13,117.77
2019-09-30,12.59,$1.10,11.45
2019-06-30,15.85,$1.18,13.43
2019-03-31,13.39,$1.22,10.98
2018-12-31,16.23,$1.34,12.11
2018-09-30,13.57,$0.38,35.71
2018-06-30,12.7,$0.31,40.97
2018-03-31,12.77,$0.18,70.94
2017-12-31,8.38,$0.05,167.6
2017-09-30,7.35,$-0.16,0.0
2017-06-30,4.17,$-0.27,0.0
2017-03-31,3.9,$-0.30,0.0
2016-12-31,3.76,$-0.37,0.0
2016-09-30,3.02,$-0.34,0.0
2016-06-30,3.55,$-0.37,0.0
2016-03-31,3.42,$-0.38,0.0
2015-09-30,5.55,$-0.44,0.0
2015-06-30,6.45,$-0.44,0.0
2015-03-31,5.95,$-0.47,0.0
2014-12-31,6.07,$-0.53,0.0
2014-09-30,4.15,$-0.47,0.0
2014-06-30,5.51,$-1.34,0.0
2015-12-31,4.29,$-1.22,0.0
2014-03-31,6.64,$-1.13,0.0
2013-12-31,8.69,$-1.12,0.0
2013-09-30,9.44,$-0.10,0.0
2013-06-30,8.63,$-0.08,0.0
2013-03-31,5.97,$-0.04,0.0
2012-12-31,6.72,$0.07,96.0
2012-09-30,8.39,$0.15,55.93
2012-06-30,9.26,$0.26,35.62
2012-03-31,10.49,$0.39,26.9
2011-12-31,9.36,$0.46,20.35
2011-09-30,10.35,$0.51,20.29
2011-06-30,12.98,$0.56,23.18
2011-03-31,22.73,$0.56,40.59
2010-12-31,19.21,$0.54,35.57
