American Woodmark PE Ratio Historical Data,American Woodmark PE Ratio Historical Data,American Woodmark PE Ratio Historical Data,American Woodmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,99.69,,14.77
2024-07-31,102.15,$6.75,15.13
2024-04-30,92.08,$7.14,12.9
2024-01-31,91.28,$7.25,12.59
2023-10-31,67.23,$6.81,9.87
2023-07-31,76.64,$6.69,11.46
2023-04-30,50.52,$5.62,8.99
2023-01-31,57.29,$4.69,12.22
2022-10-31,45.35,$0.84,53.99
2022-07-31,50.22,$-0.77,0.0
2022-04-30,46.85,$-1.80,0.0
2022-01-31,59.93,$-2.50,0.0
2021-10-31,68.74,$1.48,46.45
2021-07-31,74.25,$2.67,27.81
2021-04-30,99.46,$3.46,28.75
2021-01-31,86.51,$4.06,21.31
2020-10-31,82.61,$3.80,21.74
2020-07-31,80.62,$3.80,21.22
2020-04-30,51.41,$4.42,11.63
2020-01-31,109.65,$4.95,22.15
2019-10-31,99.16,$5.27,18.82
2019-07-31,84.85,$5.01,16.94
2019-04-30,89.93,$4.83,18.62
2019-01-31,69.95,$4.61,15.17
2018-10-31,60.44,$3.66,16.51
2018-07-31,83.45,$3.82,21.85
2018-04-30,82.2,$3.77,21.8
2018-01-31,135.85,$3.75,36.23
2017-10-31,96.6,$4.52,21.37
2017-07-31,98.15,$4.38,22.41
2017-04-30,91.9,$4.34,21.18
2017-01-31,71.2,$4.09,17.41
2016-10-31,74.7,$3.93,19.01
2016-07-31,74.23,$3.96,18.74
2016-04-30,72.84,$3.56,20.46
2016-01-31,69.0,$3.44,20.06
2015-10-31,72.7,$3.16,23.01
2015-07-31,65.76,$2.54,25.89
2015-04-30,50.7,$2.21,22.94
2015-01-31,41.13,$1.88,21.88
2014-10-31,40.91,$1.61,25.41
2014-07-31,29.4,$1.56,18.85
2014-04-30,30.01,$1.31,22.91
2014-01-31,35.11,$1.09,32.21
2013-07-31,34.69,$1.04,33.36
2013-04-30,33.65,$0.65,51.77
2013-01-31,27.81,$-0.11,0.0
2012-10-31,23.0,$-0.89,0.0
2012-07-31,16.67,$-1.23,0.0
2012-04-30,17.95,$-1.46,0.0
2012-01-31,14.22,$-1.28,0.0
2011-10-31,17.01,$-1.05,0.0
2011-07-31,16.62,$-1.36,0.0
2011-04-30,20.21,$-0.83,0.0
2011-01-31,18.48,$-0.70,0.0
2010-10-31,17.46,$-0.93,0.0
2013-10-31,33.92,$-0.78,0.0
2010-04-30,22.45,$-1.57,0.0
2010-01-31,19.49,$-1.67,0.0
2009-10-31,18.93,$-1.27,0.0
2009-07-31,22.46,$-0.90,0.0
