Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data,Intercontinental Hotels Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,113.43,,inf
2024-06-30,105.39,0,0.0
2023-12-31,89.77,0,0.0
2023-06-30,68.92,0,0.0
2022-12-31,56.26,0,0.0
2021-12-31,61.61,0,0.0
2021-06-30,63.0,0,0.0
2020-12-31,61.52,0,0.0
2020-06-30,41.91,0,0.0
2019-12-31,63.44,0,0.0
2019-06-30,61.4,0,0.0
2018-12-31,49.77,0,0.0
2018-06-30,56.81,0,0.0
2017-12-31,56.89,0,0.0
2017-06-30,49.41,0,0.0
2016-12-31,39.23,$0.50,78.41
2015-12-31,34.7,$1.34,25.83
2013-06-30,24.25,$1.97,12.3
2012-12-31,24.2,$2.77,8.74
2012-09-30,24.47,$2.91,8.41
2012-06-30,22.29,$2.99,7.46
2012-03-31,21.47,$2.80,7.66
2011-12-31,16.37,$2.01,8.16
2011-09-30,14.63,$1.72,8.53
2011-06-30,18.63,$0.80,23.39
2015-06-30,35.98,$0.89,40.51
2011-03-31,18.68,$1.33,14.02
2010-12-31,17.49,$1.24,14.1
2010-09-30,15.91,$1.24,12.82
2010-06-30,13.79,$1.06,13.05
2010-03-31,13.76,$0.61,22.46
2009-12-31,12.4,$0.06,202.66
2009-09-30,11.15,$0.21,52.01
2014-12-31,35.15,$-0.14,0.0
2009-06-30,8.81,$-0.14,0.0
2009-03-31,6.45,$0.15,42.12
