Smartsheet PE Ratio Historical Data,Smartsheet PE Ratio Historical Data,Smartsheet PE Ratio Historical Data,Smartsheet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.06,,0.0
2024-07-31,47.96,$-0.31,0.0
2024-04-30,37.83,$-0.62,0.0
2024-01-31,44.97,$-0.79,0.0
2023-10-31,39.54,$-1.05,0.0
2023-07-31,44.4,$-1.12,0.0
2023-04-30,40.87,$-1.35,0.0
2023-01-31,43.21,$-1.67,0.0
2022-10-31,34.92,$-1.76,0.0
2022-07-31,30.06,$-1.74,0.0
2022-04-30,48.33,$-1.61,0.0
2022-01-31,62.22,$-1.36,0.0
2021-10-31,69.01,$-1.17,0.0
2021-07-31,72.55,$-1.14,0.0
2021-04-30,59.3,$-1.01,0.0
2021-01-31,69.74,$-0.94,0.0
2020-10-31,49.85,$-0.95,0.0
2020-07-31,47.74,$-0.94,0.0
2020-04-30,52.72,$-0.89,0.0
2020-01-31,48.48,$-0.85,0.0
2019-10-31,39.4,$-0.72,0.0
2019-07-31,49.91,$-0.62,0.0
2019-04-30,42.33,$-0.57,0.0
2019-01-31,31.38,$-1.06,0.0
