Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data,Unilever PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.88,,inf
2024-06-30,54.56,0,0.0
2023-12-31,47.27,0,0.0
2023-06-30,49.9,0,0.0
2022-12-31,47.34,0,0.0
2022-06-30,42.34,0,0.0
2021-12-31,48.69,0,0.0
2021-06-30,52.0,0,0.0
2020-12-31,52.7,0,0.0
2020-06-30,47.15,0,0.0
2019-12-31,48.33,0,0.0
2019-06-30,51.59,0,0.0
2018-12-31,42.82,0,0.0
2018-06-30,44.57,0,0.0
2017-12-31,43.86,0,0.0
2017-06-30,42.26,0,0.0
2016-12-31,31.29,0,0.0
2016-06-30,36.24,0,0.0
2015-12-31,32.12,0,0.0
2015-06-30,31.53,0,0.0
2014-12-31,29.28,0,0.0
2014-06-30,32.19,0,0.0
2012-06-30,22.36,$0.47,47.57
2011-12-31,21.81,$1.03,21.17
2011-06-30,20.67,$1.49,13.87
2010-12-31,19.31,$1.94,9.96
2010-09-30,18.03,$1.90,9.49
2010-06-30,16.39,$1.91,8.58
2010-03-31,17.78,$1.84,9.66
2009-12-31,19.19,$1.74,11.03
2009-09-30,17.02,$1.31,13.0
2009-06-30,13.95,$0.74,18.85
2009-03-31,10.95,$0.35,31.29
