Sprott PE Ratio Historical Data,Sprott PE Ratio Historical Data,Sprott PE Ratio Historical Data,Sprott PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.5,,28.44
2024-06-30,41.39,$1.60,25.87
2024-03-31,36.96,$1.79,20.65
2023-12-31,33.95,$1.65,20.58
2023-09-30,30.47,$1.56,19.53
2023-06-30,32.4,$1.41,22.98
2023-03-31,36.42,$0.74,49.22
2022-12-31,33.33,$0.69,48.3
2022-09-30,33.51,$0.81,41.37
2022-06-30,34.43,$1.03,33.43
2022-03-31,49.56,$1.43,34.65
2021-12-31,44.22,$1.30,34.02
2021-09-30,35.79,$1.15,31.12
2021-06-30,38.11,$1.15,33.13
2021-03-31,36.82,$1.13,32.58
2020-12-31,28.09,$1.02,27.54
