Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,272.03,,30.91
2024-06-30,273.93,$8.80,31.13
2024-03-31,288.58,$10.23,28.21
2023-12-31,306.18,$10.51,29.13
2023-09-30,280.55,$11.96,23.46
2023-06-30,322.04,$12.26,26.27
2023-03-31,285.61,$11.36,25.14
2022-12-31,249.7,$9.23,27.05
2022-09-30,207.61,$7.97,26.05
2022-06-30,191.53,$5.73,33.43
2022-03-31,267.63,$5.50,48.66
2021-12-31,332.02,$8.58,38.7
2021-09-30,278.92,$11.59,24.07
2021-06-30,270.4,$13.17,20.53
2021-03-31,249.94,$13.58,18.41
2020-12-31,235.16,$11.17,21.05
2020-09-30,205.99,$8.77,23.49
2020-06-30,197.95,$6.59,30.04
2020-03-31,139.53,$6.06,23.02
2019-12-31,186.44,$7.81,23.87
2019-09-30,150.73,$5.81,25.94
2019-06-30,148.91,$8.54,17.44
2019-03-31,158.55,$7.92,20.02
2018-12-31,135.24,$6.81,19.86
2018-09-30,167.59,$4.31,38.88
2018-06-30,147.77,$3.08,47.98
2018-03-31,154.06,$3.17,48.6
2017-12-31,172.87,$2.85,60.66
2017-09-30,156.23,$6.34,24.64
2017-06-30,141.32,$6.20,22.79
2017-03-31,135.21,$5.99,22.57
2016-12-31,116.12,$5.82,19.95
2016-09-30,105.07,$5.57,18.86
2016-06-30,98.02,$5.64,17.38
2016-03-31,96.49,$5.70,16.93
2015-12-31,86.38,$5.93,14.57
2015-09-30,84.83,$6.09,13.93
2015-06-30,103.62,$6.38,16.24
2015-03-31,95.93,$6.29,15.25
2014-12-31,91.46,$6.07,15.07
2014-09-30,89.83,$5.92,15.17
2014-06-30,101.8,$5.66,17.99
2014-03-31,100.81,$5.68,17.75
2013-12-31,95.16,$5.63,16.9
2013-09-30,85.68,$5.36,15.99
2013-06-30,66.27,$5.21,12.72
2013-03-31,68.42,$5.09,13.44
2012-12-31,66.21,$5.01,13.22
2012-09-30,54.49,$5.14,10.6
2012-06-30,51.42,$5.15,9.98
2012-03-31,61.69,$5.05,12.22
2011-12-31,56.5,$5.03,11.23
2011-09-30,42.86,$4.80,8.93
2011-06-30,65.96,$4.32,15.27
2011-03-31,71.65,$3.92,18.28
2010-12-31,54.07,$3.73,14.5
2010-09-30,46.3,$3.22,14.38
2010-06-30,36.57,$2.51,14.57
2010-03-31,41.79,$1.91,21.88
2009-12-31,34.63,$1.25,27.71
