New Mountain Finance PE Ratio Historical Data,New Mountain Finance PE Ratio Historical Data,New Mountain Finance PE Ratio Historical Data,New Mountain Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.59,,10.54
2024-06-30,11.9,$1.10,10.82
2024-03-31,11.99,$1.11,10.8
2023-12-31,11.69,$1.25,9.35
2023-09-30,11.49,$1.13,10.17
2023-06-30,10.73,$0.94,11.41
2023-03-31,10.21,$0.78,13.09
2022-12-31,10.1,$0.72,14.03
2022-09-30,9.17,$1.07,8.57
2022-06-30,9.26,$1.21,7.65
2022-03-31,10.49,$1.76,5.96
2021-12-31,10.15,$1.91,5.32
2021-09-30,9.65,$2.10,4.59
2021-06-30,9.34,$2.70,3.46
2021-03-31,8.59,$2.71,3.17
2020-12-31,7.69,$0.44,17.48
2020-09-30,6.31,$-0.01,0.0
2020-06-30,5.96,$-0.57,0.0
2020-03-31,4.23,$-1.02,0.0
2019-12-31,8.26,$1.25,6.61
2019-09-30,7.99,$1.00,7.99
2019-06-30,7.99,$1.06,7.54
2019-03-31,7.58,$1.08,7.01
2018-12-31,6.85,$0.89,7.69
2018-09-30,7.16,$1.26,5.68
2018-06-30,7.04,$1.25,5.63
2018-03-31,6.64,$1.30,5.11
2017-12-31,6.67,$1.40,4.76
2017-09-30,6.84,$1.51,4.53
2017-06-30,6.82,$1.57,4.34
2017-03-31,6.82,$1.87,3.65
2016-12-31,6.31,$1.60,3.94
2016-09-30,6.01,$0.83,7.24
2016-06-30,5.49,$0.63,8.72
2016-03-31,5.24,$0.32,16.36
2015-12-31,5.25,$0.56,9.37
2015-09-30,5.33,$0.71,7.51
2015-06-30,5.55,$0.68,8.16
2015-03-31,5.47,$0.79,6.92
2014-12-31,5.46,$0.92,5.94
2014-09-30,5.25,$1.41,3.72
2014-06-30,5.15,$1.73,2.98
2014-03-31,4.93,$1.79,2.75
2013-12-31,4.98,$1.89,2.63
2013-09-30,4.66,$2.01,2.32
2013-06-30,4.44,$2.25,1.97
2013-03-31,4.48,$2.11,2.12
2012-12-31,4.46,$1.86,2.4
2012-09-30,4.29,$1.70,2.52
2012-06-30,4.02,$1.00,4.02
