Palantir Technologies PE Ratio Historical Data,Palantir Technologies PE Ratio Historical Data,Palantir Technologies PE Ratio Historical Data,Palantir Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.0,,247.06
2024-06-30,25.33,$0.17,149.0
2024-03-31,23.01,$0.12,191.75
2023-12-31,17.17,$0.09,190.78
2023-09-30,16.0,$0.06,266.67
2023-06-30,15.33,$-0.03,0.0
2023-03-31,8.45,$-0.13,0.0
2022-12-31,6.42,$-0.19,0.0
2022-09-30,8.13,$-0.28,0.0
2022-06-30,9.07,$-0.27,0.0
2022-03-31,13.73,$-0.25,0.0
2021-12-31,18.21,$-0.27,0.0
2021-09-30,24.04,$-0.27,0.0
2021-06-30,26.36,$-1.16,0.0
