MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,242.39,,34.93
2024-06-30,199.89,$6.94,28.8
2024-03-31,217.81,$6.81,31.98
2023-12-31,289.95,$6.85,42.33
2023-09-30,210.83,$6.59,31.99
2023-06-30,257.27,$6.71,38.34
2023-03-31,384.16,$6.90,55.68
2022-12-31,273.25,$6.65,41.09
2022-09-30,217.36,$6.44,33.75
2022-06-30,249.46,$6.38,39.1
2022-03-31,330.62,$6.37,51.9
2021-12-31,398.93,$6.77,58.93
2021-09-30,407.41,$7.31,55.73
2021-06-30,448.34,$7.57,59.23
2021-03-31,480.83,$8.00,60.1
2020-12-31,550.33,$7.85,70.11
2020-09-30,463.99,$7.26,63.91
2020-06-30,482.05,$6.90,69.86
2020-03-31,319.65,$5.97,53.54
2019-12-31,363.75,$5.40,67.36
2019-09-30,313.76,$5.29,59.31
2019-06-30,307.49,$4.89,62.88
2019-03-31,234.98,$4.69,50.1
2018-12-31,201.33,$4.57,44.05
2018-09-30,169.71,$4.24,40.03
2018-06-30,187.71,$4.12,45.56
2018-03-31,205.86,$4.05,50.83
2017-12-31,190.59,$3.89,48.99
2017-09-30,173.98,$3.89,44.72
2017-06-30,189.31,$3.81,49.69
2017-03-31,176.18,$3.69,47.75
2016-12-31,137.82,$3.35,41.14
2016-09-30,155.07,$3.12,49.7
2016-06-30,135.94,$2.90,46.88
2016-03-31,116.47,$2.66,43.79
2015-12-31,103.87,$2.54,40.89
2015-09-30,86.41,$2.46,35.13
2015-06-30,86.0,$2.32,37.07
2015-03-31,76.66,$2.16,35.49
2014-12-31,66.15,$1.97,33.58
2014-09-30,56.93,$2.01,28.32
2014-06-30,49.61,$2.03,24.44
2014-03-31,54.18,$2.06,26.3
2013-12-31,61.07,$2.01,30.38
2013-09-30,54.6,$1.94,28.14
2013-06-30,42.47,$1.82,23.34
2013-03-31,33.78,$1.65,20.48
2012-12-31,31.86,$1.59,20.04
2012-09-30,27.33,$1.34,20.4
2012-06-30,22.96,$1.32,17.39
2012-03-31,32.02,$1.28,25.02
2011-12-31,25.77,$1.20,21.48
2011-09-30,22.2,$1.14,19.48
2011-06-30,21.31,$1.02,20.89
2011-03-31,20.48,$0.90,22.76
2010-12-31,17.55,$0.80,21.93
2010-09-30,14.26,$0.71,20.09
2010-06-30,11.53,$0.61,18.9
2010-03-31,13.1,$0.51,25.68
2009-12-31,11.52,$0.42,27.42
