Retail Opportunity Investments PE Ratio Historical Data,Retail Opportunity Investments PE Ratio Historical Data,Retail Opportunity Investments PE Ratio Historical Data,Retail Opportunity Investments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.07,,57.39
2024-06-30,12.31,$0.28,43.97
2024-03-31,12.55,$0.30,41.82
2023-12-31,13.57,$0.27,50.25
2023-09-30,11.85,$0.29,40.85
2023-06-30,12.79,$0.37,34.58
2023-03-31,13.07,$0.38,34.4
2022-12-31,13.91,$0.39,35.67
2022-09-30,12.62,$0.48,26.29
2022-06-30,14.33,$0.47,30.49
2021-12-31,17.53,$0.44,39.84
2021-09-30,15.43,$0.45,34.29
2021-06-30,15.55,$0.37,42.02
2021-03-31,13.89,$0.29,47.89
2020-12-31,11.64,$0.27,43.1
2022-03-31,17.46,$0.29,60.21
2020-09-30,9.05,$0.29,31.21
2020-06-30,9.85,$0.39,25.25
2020-03-31,7.21,$0.42,17.16
2019-12-31,15.11,$0.44,34.34
2019-09-30,15.42,$0.44,35.04
2019-06-30,14.34,$0.40,35.84
2019-03-31,14.35,$0.39,36.78
2018-12-31,12.99,$0.36,36.07
2018-09-30,15.1,$0.37,40.81
2018-06-30,15.34,$0.33,46.49
2018-03-31,14.0,$0.35,40.0
2017-12-31,15.63,$0.35,44.67
2017-09-30,14.76,$0.34,43.4
2017-06-30,14.76,$0.33,44.71
2017-03-31,16.02,$0.43,37.27
2016-12-31,15.96,$0.42,37.99
2016-09-30,16.44,$0.40,41.1
2016-06-30,16.09,$0.41,39.24
2016-03-31,14.81,$0.28,52.89
2015-12-31,13.05,$0.24,54.38
2015-09-30,11.94,$0.22,54.29
2015-06-30,11.16,$0.21,53.15
2015-03-31,12.94,$0.23,56.25
2014-12-31,11.75,$0.23,51.11
2014-09-30,10.19,$0.23,44.31
2014-06-30,10.8,$0.50,21.59
2014-03-31,10.15,$0.46,22.06
2013-12-31,9.89,$0.46,21.5
2013-09-30,9.18,$0.40,22.94
2013-06-30,9.14,$0.11,83.09
2013-03-31,9.12,$0.17,53.63
2012-12-31,8.27,$0.15,55.1
2012-09-30,8.18,$0.17,48.14
2012-06-30,7.58,$0.18,42.13
2012-03-31,7.49,$0.11,68.1
2011-12-31,7.29,$0.24,30.38
2011-09-30,6.75,$0.29,23.28
2011-06-30,6.5,$0.23,28.25
2011-03-31,6.55,$0.18,36.4
2010-12-31,5.89,$-0.01,0.0
2010-09-30,5.66,$-0.21,0.0
