Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data,Ormat Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,77.27,,35.28
2024-06-30,71.58,$2.19,32.69
2024-03-31,65.97,$2.22,29.72
2023-12-31,75.4,$2.09,36.08
2023-09-30,69.43,$1.82,38.15
2023-06-30,79.77,$1.55,51.47
2023-03-31,83.93,$1.35,62.17
2022-12-31,85.5,$1.17,73.08
2022-09-30,85.12,$1.19,71.53
2022-06-30,77.28,$1.13,68.39
2022-03-31,80.58,$1.16,69.46
2021-12-31,77.97,$1.10,70.88
2021-09-30,65.39,$1.15,56.86
2021-06-30,68.14,$1.20,56.78
2021-03-31,76.82,$1.42,54.1
2020-12-31,88.19,$1.66,53.12
2020-09-30,57.66,$1.51,38.19
2020-06-30,61.82,$1.50,41.21
2020-03-31,65.78,$1.71,38.47
2019-12-31,72.32,$1.71,42.29
2019-09-30,71.99,$1.83,39.34
2019-06-30,61.34,$1.74,35.25
2019-03-31,53.27,$1.07,49.78
2018-12-31,50.41,$1.44,35.01
2018-09-30,52.06,$2.37,21.97
2018-06-30,51.08,$2.54,20.11
2018-03-31,54.04,$3.24,16.68
2017-12-31,61.05,$3.06,19.95
2017-09-30,58.2,$2.33,24.98
2017-06-30,55.86,$2.19,25.51
2017-03-31,54.26,$1.99,27.26
2016-12-31,50.82,$1.88,27.03
2016-09-30,45.81,$1.78,25.74
2016-06-30,41.35,$2.95,14.02
2016-03-31,38.9,$2.74,14.2
2015-12-31,34.15,$2.36,14.47
2015-09-30,31.81,$2.05,15.52
2015-06-30,35.16,$1.00,35.16
2015-03-31,35.42,$0.92,38.5
2014-12-31,25.27,$1.18,21.42
2014-09-30,24.38,$1.21,20.15
2014-06-30,26.7,$1.13,23.63
2014-03-31,27.75,$1.48,18.75
2013-12-31,25.11,$0.97,25.88
2013-09-30,24.66,$-4.12,0.0
2013-06-30,21.63,$-4.41,0.0
2013-03-31,18.99,$-4.77,0.0
2012-12-31,17.73,$-4.56,0.0
2012-09-30,17.25,$-0.60,0.0
2012-06-30,19.63,$-0.57,0.0
2012-03-31,18.46,$-0.58,0.0
2011-12-31,16.52,$-0.95,0.0
2011-09-30,14.73,$0.10,147.31
2011-06-30,20.12,$0.79,25.47
2011-03-31,23.11,$0.58,39.85
2010-12-31,26.93,$0.82,32.84
2010-09-30,26.51,$1.07,24.78
2010-06-30,25.66,$0.88,29.16
2010-03-31,25.48,$1.26,20.23
2009-12-31,34.13,$1.54,22.16
