Enova PE Ratio Historical Data,Enova PE Ratio Historical Data,Enova PE Ratio Historical Data,Enova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.86,,14.67
2024-06-30,62.25,$5.99,10.39
2024-03-31,62.83,$5.56,11.3
2023-12-31,55.36,$5.48,10.1
2023-09-30,50.87,$5.91,8.61
2023-06-30,53.12,$6.19,8.58
2023-03-31,44.43,$6.25,7.11
2022-12-31,38.37,$6.19,6.2
2022-09-30,29.27,$5.93,4.94
2022-06-30,28.82,$5.72,5.04
2022-03-31,37.97,$6.26,6.07
2021-12-31,40.96,$6.79,6.03
2021-09-30,34.55,$11.96,2.89
2021-06-30,34.21,$13.69,2.5
2021-03-31,35.48,$13.17,2.69
2020-12-31,24.77,$11.31,2.19
2020-09-30,16.39,$3.33,4.92
2020-06-30,14.87,$1.02,14.58
2020-03-31,14.49,$0.17,85.24
2019-12-31,24.06,$1.02,23.59
2019-09-30,20.75,$2.78,7.46
2019-06-30,23.05,$2.43,9.49
2019-03-31,22.82,$2.22,10.28
2018-12-31,19.46,$2.01,9.68
2018-09-30,28.8,$1.96,14.69
2018-06-30,36.55,$1.43,25.56
2018-03-31,22.05,$1.26,17.5
2017-12-31,15.2,$0.86,17.67
2017-09-30,13.45,$0.92,14.62
2017-06-30,14.85,$1.25,11.88
2017-03-31,14.85,$1.15,12.91
2016-12-31,12.55,$1.04,12.07
2016-09-30,9.68,$0.91,10.64
2016-06-30,7.36,$0.81,9.09
2016-03-31,6.31,$0.89,7.09
2015-12-31,6.61,$1.33,4.97
2015-09-30,10.22,$1.88,5.44
