Sabre PE Ratio Historical Data,Sabre PE Ratio Historical Data,Sabre PE Ratio Historical Data,Sabre PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.62,,0.0
2024-06-30,2.67,$-1.24,0.0
2024-03-31,2.42,$-1.45,0.0
2023-12-31,4.4,$-1.58,0.0
2023-09-30,4.49,$-1.82,0.0
2023-06-30,3.19,$-1.64,0.0
2023-03-31,4.29,$-1.84,0.0
2022-12-31,6.18,$-1.40,0.0
2022-09-30,5.15,$-1.50,0.0
2022-06-30,5.83,$-1.82,0.0
2022-03-31,11.43,$-2.02,0.0
2021-12-31,8.59,$-2.98,0.0
2021-09-30,11.84,$-3.36,0.0
2021-06-30,12.48,$-3.68,0.0
2021-03-31,14.81,$-4.50,0.0
2020-12-31,12.02,$-4.44,0.0
2020-09-30,6.51,$-3.42,0.0
2020-06-30,8.06,$-2.12,0.0
2020-03-31,5.93,$-0.41,0.0
2019-12-31,21.65,$0.57,37.98
2019-09-30,21.47,$0.83,25.87
2019-06-30,21.16,$0.86,24.6
2019-03-31,20.26,$1.09,18.59
2018-12-31,20.36,$1.21,16.83
2018-09-30,24.38,$1.21,20.15
2018-06-30,22.91,$1.28,17.9
2018-03-31,19.84,$0.93,21.33
2017-12-31,18.84,$0.88,21.41
2017-09-30,16.52,$0.67,24.66
2017-06-30,19.72,$0.48,41.09
2017-03-31,19.08,$0.75,25.44
2016-12-31,22.32,$0.85,26.26
2016-09-30,25.08,$1.22,20.56
2016-06-30,23.73,$1.71,13.88
2016-03-31,25.5,$1.58,16.14
2015-12-31,24.54,$1.96,12.52
2015-09-30,23.77,$1.67,14.24
2015-06-30,20.75,$1.17,17.74
2015-03-31,21.11,$1.00,21.11
