ASE Technology Holding PE Ratio Historical Data,ASE Technology Holding PE Ratio Historical Data,ASE Technology Holding PE Ratio Historical Data,ASE Technology Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.74,,23.87
2024-06-30,11.42,$0.45,25.38
2024-03-31,10.99,$0.46,23.89
2023-12-31,9.41,$0.47,20.02
2023-09-30,7.52,$0.57,13.19
2023-06-30,7.79,$0.70,11.13
2023-03-31,7.97,$0.83,9.6
2022-12-31,6.27,$0.95,6.6
2022-09-30,4.99,$1.22,4.09
2022-06-30,5.17,$1.19,4.34
2022-03-31,6.64,$1.10,6.04
2021-12-31,7.32,$1.03,7.1
2021-09-30,7.35,$0.69,10.66
2021-06-30,7.36,$0.57,12.92
2021-03-31,7.04,$0.52,13.55
2020-12-31,5.34,$0.44,12.14
2020-09-30,3.73,$0.38,9.82
2020-06-30,4.08,$0.36,11.32
2020-03-31,3.36,$0.29,11.58
2019-12-31,4.99,$0.26,19.19
2019-09-30,4.0,$0.24,16.68
2019-06-30,3.46,$0.24,14.41
2019-03-31,3.77,$0.38,9.93
2018-12-31,3.28,$0.39,8.42
2018-09-30,4.23,$0.41,10.42
2018-06-30,4.03,$0.41,9.78
2018-03-31,6.36,$0.35,18.06
2017-12-31,5.67,$0.35,16.12
2017-09-30,5.41,$0.37,14.7
2017-06-30,5.33,$0.35,15.15
2017-03-31,5.47,$0.30,18.5
2016-12-31,4.26,$0.31,13.65
2016-09-30,4.99,$0.27,18.36
2016-06-30,4.52,$0.28,16.16
2016-03-31,4.74,$0.27,17.44
2015-12-31,4.6,$0.29,15.96
2015-09-30,4.45,$0.34,12.94
2015-06-30,5.05,$0.37,13.73
2015-03-31,5.51,$0.40,13.78
2014-12-31,4.69,$0.38,12.22
2014-09-30,4.52,$0.36,12.56
2014-06-30,4.8,$0.33,14.64
2014-03-31,4.1,$0.30,13.49
2013-12-31,3.55,$0.33,10.81
2013-09-30,3.53,$0.29,12.26
2013-06-30,2.82,$0.26,10.66
2012-12-31,2.97,$0.24,12.62
2012-09-30,2.59,$0.20,12.66
2012-06-30,2.77,$0.20,13.61
2012-03-31,3.49,$0.21,16.6
2011-12-31,2.95,$0.24,12.08
2011-09-30,2.87,$0.28,10.36
2011-06-30,3.79,$0.25,14.92
2011-03-31,3.68,$0.28,13.18
2010-12-31,3.85,$0.29,13.51
2013-03-31,2.85,$0.26,10.93
2010-09-30,2.76,$0.28,9.93
2010-06-30,2.55,$0.24,10.74
2010-03-31,2.96,$0.19,15.49
2009-12-31,2.89,$0.11,26.09
