Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data,Flex LNG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.45,,11.46
2024-06-30,26.29,$2.22,11.84
2024-03-31,24.07,$2.54,9.48
2023-12-31,26.71,$2.23,11.98
2023-09-30,26.94,$2.64,10.2
2023-06-30,26.62,$2.67,9.97
2023-03-31,28.58,$2.78,10.28
2022-12-31,27.01,$3.52,7.67
2022-09-30,25.66,$4.05,6.34
2022-06-30,21.34,$3.80,5.62
2022-03-31,21.61,$3.21,6.73
2021-12-31,17.25,$3.04,5.67
2021-09-30,12.76,$2.22,5.75
2021-06-30,10.18,$1.67,6.1
2021-03-31,6.0,$1.31,4.58
2020-12-31,5.68,$0.16,35.52
2020-09-30,3.68,$0.12,30.67
2020-06-30,2.96,$0.06,49.38
2020-03-31,3.25,$0.11,29.56
