Timken PE Ratio Historical Data,Timken PE Ratio Historical Data,Timken PE Ratio Historical Data,Timken PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.24,,17.88
2024-06-30,79.8,$4.88,16.35
2024-03-31,86.75,$5.25,16.52
2023-12-31,79.2,$5.46,14.51
2023-09-30,72.28,$5.95,12.15
2023-06-30,89.65,$5.90,15.19
2023-03-31,79.69,$5.59,14.26
2022-12-31,68.67,$5.48,12.53
2022-09-30,57.12,$4.98,11.47
2022-06-30,51.1,$4.94,10.34
2022-03-31,58.16,$4.88,11.92
2021-12-31,66.09,$4.79,13.8
2021-09-30,62.14,$4.66,13.34
2021-06-30,76.24,$4.68,16.29
2021-03-31,76.52,$4.14,18.48
2020-12-31,72.65,$3.73,19.48
2020-09-30,50.72,$4.52,11.22
2020-06-30,42.33,$4.20,10.08
2020-03-31,29.89,$4.58,6.53
2019-12-31,51.76,$4.71,10.99
2019-09-30,39.78,$4.00,9.94
2019-06-30,46.61,$4.07,11.45
2019-03-31,39.37,$4.03,9.77
2018-12-31,33.46,$3.86,8.67
2018-09-30,44.38,$3.46,12.83
2018-06-30,38.55,$3.23,11.93
2018-03-31,40.13,$3.11,12.91
2017-12-31,43.0,$2.57,16.73
2017-09-30,42.23,$2.51,16.82
2017-06-30,39.98,$2.09,19.13
2017-03-31,38.85,$1.62,23.98
2016-12-31,33.92,$1.92,17.67
2016-09-30,29.82,$1.17,25.49
2016-06-30,25.82,$1.66,15.56
2016-03-31,27.98,$1.52,18.41
2015-12-31,23.68,$-0.80,0.0
2015-09-30,22.59,$0.11,205.32
2015-06-30,29.8,$-0.80,0.0
2015-03-31,34.13,$-0.55,0.0
2014-12-31,34.36,$1.89,18.18
2014-09-30,33.93,$1.97,17.22
2014-06-30,38.37,$2.67,14.37
2014-03-31,33.12,$2.85,11.62
2013-12-31,30.9,$2.72,11.36
2013-09-30,33.78,$2.95,11.45
2013-06-30,31.4,$3.24,9.69
2013-03-31,31.47,$4.24,7.42
2012-12-31,26.53,$5.05,5.25
2012-09-30,20.53,$5.38,3.82
2012-06-30,25.2,$5.67,4.44
2012-03-31,27.84,$5.03,5.54
2011-12-31,21.18,$4.58,4.62
2011-09-30,17.89,$4.38,4.09
2011-06-30,27.38,$3.98,6.88
2011-03-31,28.33,$3.64,7.78
2010-12-31,25.79,$2.81,9.18
2010-09-30,20.67,$1.69,12.23
2010-06-30,13.97,$0.45,31.03
2010-03-31,16.08,$-1.10,0.0
2009-12-31,12.67,$-1.39,0.0
