Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,162.37,,36.99
2024-06-30,141.13,$4.39,32.15
2024-03-31,128.74,$4.77,26.99
2023-12-31,130.12,$4.71,27.63
2023-09-30,123.19,$5.01,24.59
2023-06-30,144.12,$5.12,28.15
2023-03-31,142.0,$5.70,24.91
2022-12-31,146.31,$5.49,26.65
2022-09-30,143.3,$5.42,26.44
2022-06-30,160.2,$5.10,31.41
2022-03-31,191.09,$5.16,37.03
2021-12-31,208.3,$4.61,45.18
2021-09-30,168.67,$3.73,45.22
2021-06-30,151.27,$3.52,42.97
2021-03-31,128.76,$2.29,56.23
2020-12-31,112.11,$2.20,50.96
2020-09-30,101.78,$2.78,36.61
2020-06-30,99.77,$2.94,33.94
2020-03-31,88.86,$2.82,31.51
2019-12-31,112.87,$3.06,36.89
2019-09-30,110.48,$2.29,48.25
2019-06-30,99.28,$2.07,47.96
2019-03-31,91.38,$2.06,44.36
2018-12-31,79.2,$1.93,41.04
2018-09-30,82.11,$2.48,33.11
2018-06-30,81.75,$3.02,27.07
2018-03-31,73.35,$2.92,25.12
2017-12-31,80.04,$2.86,27.98
2017-09-30,84.39,$2.22,38.01
2017-06-30,82.49,$2.34,35.25
2017-03-31,78.97,$2.49,31.72
2016-12-31,75.32,$2.71,27.79
2016-09-30,71.62,$2.84,25.22
2016-06-30,80.46,$2.94,27.37
2016-03-31,76.66,$4.18,18.34
2015-12-31,67.49,$4.41,15.3
2015-09-30,60.29,$4.30,14.02
2015-06-30,53.08,$3.97,13.37
2015-03-31,55.75,$2.56,21.78
2014-12-31,53.37,$1.95,27.37
2014-09-30,46.41,$1.37,33.87
2014-06-30,51.12,$1.52,33.63
2014-03-31,47.27,$2.49,18.98
2013-12-31,41.56,$2.79,14.9
2013-09-30,42.29,$3.43,12.33
2013-06-30,45.39,$3.13,14.5
2013-03-31,45.8,$2.45,18.69
2012-12-31,42.49,$2.55,16.66
2012-09-30,42.42,$2.52,16.83
2012-06-30,43.89,$2.15,20.41
2012-03-31,42.68,$1.66,25.71
2011-12-31,39.4,$1.30,30.31
2011-09-30,37.53,$1.01,37.16
2011-06-30,41.68,$0.75,55.57
2011-03-31,39.26,$0.59,66.55
2010-12-31,38.44,$0.56,68.64
2010-09-30,34.93,$0.57,61.28
2010-06-30,30.5,$0.58,52.58
2010-03-31,30.33,$0.79,38.39
2009-12-31,27.92,$0.86,32.46
