Olin PE Ratio Historical Data,Olin PE Ratio Historical Data,Olin PE Ratio Historical Data,Olin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.41,,20.89
2024-06-30,46.92,$2.27,20.67
2024-03-31,58.3,$2.78,20.97
2023-12-31,53.3,$3.54,15.06
2023-09-30,49.15,$4.54,10.83
2023-06-30,50.37,$5.90,8.54
2023-03-31,54.19,$7.53,7.2
2022-12-31,51.52,$8.85,5.82
2022-09-30,41.58,$9.31,4.47
2022-06-30,44.71,$9.51,4.7
2022-03-31,50.34,$8.92,5.64
2021-12-31,55.16,$6.23,8.85
2021-09-30,46.12,$-0.33,0.0
2021-06-30,44.03,$-3.47,0.0
2020-12-31,23.13,$-6.15,0.0
2020-09-30,11.55,$-6.43,0.0
2020-06-30,10.52,$-0.25,0.0
2020-03-31,10.52,$0.78,13.48
2019-12-31,15.35,$1.17,13.12
2021-03-31,35.98,$1.91,18.84
2019-09-30,16.49,$0.72,22.91
2019-06-30,19.09,$1.61,11.86
2019-03-31,19.97,$2.08,9.6
2018-12-31,17.21,$1.95,8.83
2018-09-30,21.78,$4.52,4.82
2018-06-30,24.19,$3.67,6.59
2018-03-31,25.45,$3.28,7.76
2017-12-31,29.6,$3.24,9.14
2017-09-30,28.34,$0.45,62.98
2017-06-30,24.89,$0.25,99.56
2017-03-31,26.84,$0.28,95.85
2016-12-31,20.77,$-0.03,0.0
2016-09-30,16.49,$-0.50,0.0
2016-06-30,19.78,$-0.53,0.0
2016-03-31,13.7,$0.02,685.24
2015-12-31,13.41,$0.42,31.93
2015-09-30,12.93,$0.95,13.61
2015-06-30,20.55,$1.20,17.13
2015-03-31,24.27,$1.13,21.48
2014-12-31,17.12,$1.27,13.48
2014-09-30,18.83,$1.97,9.56
2014-06-30,19.92,$2.18,9.14
2013-12-31,21.03,$2.21,9.52
2013-09-30,16.68,$2.33,7.16
2013-06-30,17.15,$1.84,9.32
2013-03-31,17.93,$1.65,10.87
2012-12-31,15.22,$1.74,8.75
2014-03-31,20.29,$1.79,11.33
2012-09-30,15.18,$1.65,9.2
2012-06-30,14.45,$1.88,7.69
2012-03-31,14.9,$1.81,8.23
2011-12-31,13.34,$2.99,4.46
2011-09-30,12.1,$2.78,4.35
2011-06-30,15.06,$2.60,5.79
2011-03-31,15.11,$2.29,6.6
2010-12-31,13.38,$0.81,16.52
2010-09-30,13.01,$1.07,12.16
2010-06-30,11.56,$1.17,9.88
2010-03-31,12.41,$1.32,9.4
2009-12-31,10.94,$1.74,6.29
