Ambev S.A PE Ratio Historical Data,Ambev S.A PE Ratio Historical Data,Ambev S.A PE Ratio Historical Data,Ambev S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.3,,12.11
2024-06-30,2.05,$0.19,10.79
2024-03-31,2.48,$0.19,13.05
2023-12-31,2.8,$0.18,15.56
2023-09-30,2.45,$0.18,13.62
2023-06-30,3.02,$0.17,17.77
2023-03-31,2.68,$0.18,14.89
2022-12-31,2.58,$0.18,14.36
2022-09-30,2.56,$0.16,15.97
2022-06-30,2.27,$0.16,14.17
2022-03-31,2.92,$0.15,19.44
2021-12-31,2.53,$0.14,18.06
2021-09-30,2.4,$0.18,13.31
2021-06-30,2.99,$0.17,17.56
2021-03-31,2.38,$0.15,15.85
2020-12-31,2.64,$0.14,18.88
2020-09-30,1.9,$0.12,15.87
2020-06-30,2.22,$0.13,17.11
2020-03-31,1.94,$0.16,12.11
2019-12-31,3.93,$0.18,21.82
2019-09-30,3.79,$0.18,21.07
2019-06-30,3.83,$0.19,20.18
2019-03-31,3.53,$0.19,18.58
2018-12-31,3.22,$0.20,16.09
2018-09-30,3.61,$0.20,18.06
2018-06-30,3.66,$0.15,24.39
2018-03-31,5.7,$0.15,37.97
2017-12-31,5.05,$0.15,33.63
2017-09-30,5.07,$0.18,28.17
2017-06-30,4.22,$0.24,17.6
2017-03-31,4.39,$0.24,18.3
2016-12-31,3.73,$0.23,16.21
2016-09-30,4.52,$0.21,21.53
2016-06-30,4.36,$0.20,21.79
2016-03-31,3.82,$0.21,18.19
2015-12-31,3.27,$0.23,14.2
2015-09-30,3.56,$0.26,13.68
2015-06-30,4.4,$0.28,15.71
2015-03-31,4.13,$0.29,14.24
2014-12-31,4.38,$0.30,14.59
2014-09-30,4.55,$0.33,13.78
2014-06-30,4.84,$0.33,14.85
2014-03-31,5.06,$0.32,15.9
2013-12-31,4.94,$0.32,15.35
2013-09-30,5.2,$0.31,16.68
2013-06-30,4.92,$0.32,15.17
2013-03-31,5.53,$0.33,16.75
2012-12-31,5.52,$0.34,16.42
2012-09-30,4.05,$0.33,12.43
2012-06-30,4.04,$0.32,12.77
2012-03-31,4.48,$0.33,13.49
2011-12-31,3.69,$0.34,10.97
2011-09-30,3.07,$0.32,9.53
2011-06-30,3.55,$0.32,11.01
2011-03-31,2.98,$0.30,9.8
2010-12-31,3.2,$0.28,11.41
2010-09-30,2.51,$0.25,9.87
2010-06-30,2.04,$0.23,8.88
2010-03-31,1.85,$0.22,8.3
2009-12-31,2.02,$0.20,9.88
