Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,109.28,,9.94
2024-05-31,118.81,$10.99,10.81
2024-02-29,143.88,$11.65,12.35
2023-11-30,115.09,$5.86,19.64
2023-08-31,114.12,$6.00,19.02
2023-05-31,89.22,$7.10,12.57
2023-02-28,82.67,$6.89,12.0
2022-11-30,71.81,$7.00,10.26
2022-08-31,59.91,$6.55,9.15
2022-02-28,57.28,$5.42,10.57
2021-11-30,57.85,$4.90,11.81
2021-08-31,61.06,$4.58,13.33
2021-05-31,55.72,$3.86,14.43
2021-02-28,42.55,$2.40,17.73
2020-11-30,37.6,$1.39,27.05
2020-08-31,33.53,$0.34,98.6
2020-05-31,29.31,$0.24,122.1
2020-02-29,31.3,$0.86,36.39
2019-11-30,37.85,$1.31,28.89
2019-08-31,28.02,$1.81,15.48
2019-05-31,23.91,$1.13,21.16
2019-02-28,27.54,$1.10,25.04
2018-11-30,24.15,$0.88,27.44
2018-08-31,28.49,$0.47,60.62
2018-05-31,27.18,$1.06,25.64
2018-02-28,25.96,$0.67,38.75
2017-11-30,27.56,$0.57,48.36
2017-08-31,29.87,$0.69,43.29
2017-05-31,28.43,$0.64,44.42
2017-02-28,24.17,$0.81,29.84
2016-11-30,19.98,$1.11,18.0
2016-08-31,19.94,$1.32,15.11
2016-05-31,17.89,$1.57,11.39
2016-02-29,19.46,$1.91,10.19
2015-11-30,23.78,$1.77,13.43
2015-08-31,17.92,$1.46,12.27
2015-05-31,22.66,$0.88,25.75
2015-02-28,20.19,$1.44,14.02
2014-11-30,19.0,$0.98,19.39
2014-08-31,19.69,$1.18,16.68
2014-05-31,17.1,$1.92,8.91
2014-02-28,16.75,$1.23,13.61
2013-11-30,18.26,$1.85,9.87
2013-08-31,20.48,$1.79,11.44
2013-05-31,17.94,$1.57,11.43
2013-02-28,16.68,$1.81,9.22
2012-11-30,16.85,$1.84,9.16
2012-08-31,20.11,$1.87,10.76
2012-05-31,16.83,$2.00,8.41
2012-02-29,22.63,$1.99,11.37
2011-11-30,17.71,$1.78,9.95
2011-08-31,14.66,$1.73,8.47
2011-05-31,18.69,$1.48,12.63
2011-02-28,18.5,$1.25,14.8
2010-11-30,13.01,$1.14,11.41
2010-08-31,8.78,$0.78,11.26
2010-05-31,11.66,$0.54,21.59
2010-02-28,12.86,$0.16,80.37
2009-11-30,11.23,$-0.18,0.0
2009-08-31,9.19,$1.21,7.6
