Collegium Pharmaceutical PE Ratio Historical Data,Collegium Pharmaceutical PE Ratio Historical Data,Collegium Pharmaceutical PE Ratio Historical Data,Collegium Pharmaceutical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.93,,15.09
2024-06-30,32.2,$2.58,12.48
2024-03-31,38.82,$2.40,16.18
2023-12-31,30.78,$1.18,26.08
2023-09-30,22.35,$0.15,149.0
2023-06-30,21.49,$-0.37,0.0
2023-03-31,23.99,$-0.86,0.0
2022-12-31,23.2,$-0.74,0.0
2022-09-30,16.02,$-1.26,0.0
2022-06-30,17.72,$-1.05,0.0
2022-03-31,20.36,$0.89,22.88
2021-12-31,18.68,$1.69,11.05
2021-09-30,19.74,$2.62,7.53
2021-06-30,23.64,$2.72,8.69
2021-03-31,23.7,$1.16,20.43
2020-12-31,20.03,$0.76,26.36
2020-09-30,20.82,$0.49,42.49
2020-06-30,17.5,$-0.01,0.0
2020-03-31,16.33,$-0.38,0.0
2019-12-31,20.58,$-0.68,0.0
2019-09-30,11.48,$-0.34,0.0
2019-06-30,13.15,$-0.66,0.0
2019-03-31,15.14,$-0.92,0.0
2018-12-31,17.17,$-1.20,0.0
2018-09-30,14.74,$-2.01,0.0
2018-06-30,23.85,$-1.96,0.0
2018-03-31,25.55,$-2.28,0.0
2017-12-31,18.46,$-2.50,0.0
2017-09-30,10.49,$-2.98,0.0
2017-06-30,12.51,$-3.66,0.0
2017-03-31,10.06,$-3.99,0.0
2016-12-31,15.57,$-3.88,0.0
2016-09-30,19.26,$-3.32,0.0
2016-06-30,11.85,$-2.65,0.0
2016-03-31,18.15,$-2.05,0.0
