MoonLake Immunotherapeutics PE Ratio Historical Data,MoonLake Immunotherapeutics PE Ratio Historical Data,MoonLake Immunotherapeutics PE Ratio Historical Data,MoonLake Immunotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.08,,0.0
2024-06-30,43.97,$-0.91,0.0
2024-03-31,50.23,$-0.75,0.0
2023-12-31,60.39,$-0.76,0.0
2023-09-30,57.0,$-0.95,0.0
2023-06-30,51.0,$-1.04,0.0
2023-03-31,21.39,$-1.15,0.0
2022-12-31,10.5,$-1.10,0.0
2022-09-30,7.76,$-0.79,0.0
2022-06-30,5.25,$-0.52,0.0
2022-03-31,11.1,$-0.18,0.0
2021-12-31,9.89,0,0.0
2021-09-30,9.95,0,0.0
