HA Sustainable Infrastructure Capital PE Ratio Historical Data,HA Sustainable Infrastructure Capital PE Ratio Historical Data,HA Sustainable Infrastructure Capital PE Ratio Historical Data,HA Sustainable Infrastructure Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.34,,16.44
2024-06-30,29.6,$2.15,13.77
2024-03-31,27.96,$2.06,13.57
2023-12-31,27.16,$1.34,20.27
2023-09-30,20.1,$0.38,52.9
2023-06-30,23.33,$0.56,41.67
2023-03-31,26.69,$0.21,127.12
2022-12-31,26.68,$0.46,58.0
2022-09-30,26.88,$1.39,19.33
2022-06-30,33.66,$0.97,34.7
2022-03-31,41.85,$1.38,30.32
2021-12-31,46.87,$1.48,31.67
2021-09-30,46.87,$1.09,43.0
2021-06-30,48.59,$1.41,34.46
2021-03-31,48.24,$1.37,35.21
2020-12-31,54.54,$1.11,49.14
2020-09-30,35.88,$1.43,25.09
2020-06-30,23.87,$1.28,18.65
2020-03-31,16.8,$1.31,12.82
2019-12-31,26.48,$1.17,22.64
2019-09-30,23.46,$0.69,34.01
2019-06-30,22.42,$0.86,26.06
2019-03-31,20.13,$0.99,20.33
2018-12-31,14.96,$0.75,19.94
2018-09-30,16.32,$0.66,24.72
2018-06-30,14.76,$0.50,29.52
2018-03-31,14.32,$0.41,34.94
2017-12-31,17.67,$0.58,30.47
2017-09-30,17.41,$0.60,29.02
2017-06-30,16.11,$0.54,29.83
2017-03-31,14.0,$0.40,34.99
2016-12-31,13.16,$0.35,37.59
2016-09-30,15.71,$0.31,50.67
2016-06-30,14.32,$0.29,49.37
2016-03-31,12.74,$0.24,53.09
2015-12-31,12.34,$0.22,56.08
2015-09-30,11.06,$0.22,50.26
2015-06-30,12.68,$0.28,45.29
2015-03-31,11.41,$0.38,30.03
2014-12-31,8.76,$0.48,18.25
2014-09-30,8.35,$-0.03,0.0
2014-06-30,8.53,$-0.03,0.0
2014-03-31,8.41,$-0.49,0.0
