PENN Entertainment PE Ratio Historical Data,PENN Entertainment PE Ratio Historical Data,PENN Entertainment PE Ratio Historical Data,PENN Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.78,,0.0
2024-06-30,19.36,$-8.11,0.0
2024-03-31,18.21,$-7.45,0.0
2023-12-31,26.02,$-3.64,0.0
2023-09-30,22.95,$-1.14,0.0
2023-06-30,24.03,$4.38,5.49
2023-03-31,29.66,$4.05,7.32
2022-12-31,29.7,$1.29,23.02
2022-09-30,27.51,$1.42,19.37
2022-06-30,30.42,$1.22,24.93
2022-03-31,42.42,$2.24,18.94
2021-12-31,51.85,$2.50,20.74
2021-09-30,72.46,$2.31,31.37
2021-06-30,76.49,$2.72,28.12
2021-03-31,104.84,$-0.14,0.0
2020-12-31,86.37,$-5.95,0.0
2020-09-30,72.7,$-6.82,0.0
2020-06-30,30.54,$-7.37,0.0
2020-03-31,12.65,$-5.24,0.0
2019-12-31,25.56,$0.37,69.08
2019-09-30,18.63,$0.80,23.28
2019-06-30,19.26,$0.80,24.08
2019-03-31,20.1,$0.93,21.61
2018-12-31,18.83,$1.06,17.76
2018-09-30,32.92,$-1.97,0.0
2018-06-30,33.59,$6.08,5.52
2018-03-31,26.26,$5.69,4.62
2017-12-31,31.33,$5.27,5.94
2017-09-30,23.39,$8.72,2.68
2017-06-30,21.4,$0.80,26.75
2017-03-31,18.43,$0.99,18.62
2016-12-31,13.79,$1.19,11.59
2016-09-30,13.57,$1.14,11.9
2016-06-30,13.95,$0.63,22.14
2016-03-31,16.69,$0.45,37.09
2015-12-31,16.02,$0.31,51.68
2015-09-30,16.78,$-2.87,0.0
2015-06-30,18.35,$-2.77,0.0
2015-03-31,15.66,$-2.93,0.0
2014-12-31,13.73,$-3.00,0.0
2014-09-30,11.21,$-11.22,0.0
2014-06-30,12.14,$-10.92,0.0
2014-03-31,12.32,$-11.11,0.0
2013-12-31,14.33,$-10.53,0.0
2013-09-30,12.82,$1.06,12.09
2013-06-30,12.25,$1.10,11.14
2013-03-31,12.6,$1.89,6.67
2012-12-31,11.37,$2.00,5.69
2012-09-30,9.98,$2.22,4.5
2012-06-30,10.32,$2.44,4.23
2012-03-31,9.95,$2.52,3.95
2011-12-31,8.81,$2.26,3.9
2011-09-30,7.71,$-0.12,0.0
2011-06-30,9.34,$-0.32,0.0
2011-03-31,8.58,$-0.94,0.0
2010-12-31,8.14,$-1.08,0.0
2010-09-30,6.86,$-3.65,0.0
2010-06-30,5.35,$-3.91,0.0
2010-03-31,6.44,$-3.73,0.0
2009-12-31,6.3,$-3.69,0.0
