National HealthCare PE Ratio Historical Data,National HealthCare PE Ratio Historical Data,National HealthCare PE Ratio Historical Data,National HealthCare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.08,,20.92
2024-06-30,107.88,$5.93,18.19
2024-03-31,93.53,$5.26,17.78
2023-12-31,90.88,$4.33,20.99
2023-09-30,62.53,$2.91,21.49
2023-06-30,59.87,$2.07,28.92
2023-03-31,55.7,$1.22,45.66
2022-12-31,56.51,$1.45,38.98
2022-09-30,59.6,$2.06,28.93
2022-06-30,65.21,$2.00,32.61
2022-03-31,64.99,$8.59,7.57
2021-12-31,62.39,$8.98,6.95
2021-09-30,63.75,$9.75,6.54
2021-06-30,63.21,$10.81,5.85
2021-03-31,69.94,$5.85,11.95
2020-12-31,59.22,$2.71,21.85
2020-09-30,55.13,$1.81,30.46
2020-06-30,55.66,$2.24,24.85
2020-03-31,62.42,$1.29,48.39
2019-12-31,74.7,$4.44,16.82
2019-09-30,70.31,$4.74,14.83
2019-06-30,69.27,$4.86,14.25
2019-03-31,64.35,$5.44,11.83
2018-12-31,66.1,$3.87,17.08
2018-09-30,63.1,$4.09,15.43
2018-06-30,58.53,$3.45,16.97
2018-03-31,49.24,$2.68,18.37
2017-12-31,49.92,$3.70,13.49
2017-09-30,50.86,$3.20,15.89
2017-06-30,56.58,$3.18,17.79
2017-03-31,57.13,$3.26,17.52
2016-12-31,60.35,$3.33,18.12
2016-09-30,52.24,$3.41,15.32
2016-06-30,50.9,$3.40,14.97
2016-03-31,48.63,$3.33,14.6
2015-12-31,47.85,$3.19,15.0
2015-09-30,46.93,$3.08,15.24
2015-06-30,49.76,$3.11,16.0
2015-03-31,48.48,$3.12,15.54
2014-12-31,47.57,$3.13,15.2
2014-09-30,41.8,$3.24,12.9
2014-06-30,42.13,$3.68,11.45
2014-03-31,41.49,$3.82,10.86
2013-12-31,39.87,$3.86,10.33
2013-09-30,34.76,$3.74,9.29
2013-06-30,34.91,$3.59,9.72
2013-03-31,33.16,$3.55,9.34
2012-12-31,33.89,$3.49,9.71
2012-09-30,33.46,$3.50,9.56
2012-06-30,31.51,$3.51,8.98
2012-03-31,31.53,$3.52,8.96
2011-12-31,28.8,$3.91,7.37
2011-09-30,22.04,$4.00,5.51
2011-06-30,33.51,$3.90,8.59
2011-03-31,31.24,$3.77,8.29
2010-12-31,30.91,$3.22,9.6
2010-09-30,24.61,$2.77,8.89
2010-06-30,22.7,$2.56,8.87
2010-03-31,23.13,$2.53,9.14
2009-12-31,23.43,$2.46,9.52
