Goodyear Tire & Rubber PE Ratio Historical Data,Goodyear Tire & Rubber PE Ratio Historical Data,Goodyear Tire & Rubber PE Ratio Historical Data,Goodyear Tire & Rubber PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.41,,0.0
2024-06-30,11.35,$-1.23,0.0
2024-03-31,13.73,$-2.26,0.0
2023-12-31,14.32,$-2.41,0.0
2023-09-30,12.43,$-1.76,0.0
2023-06-30,13.68,$-1.29,0.0
2023-03-31,11.02,$0.02,551.0
2022-12-31,10.15,$0.70,14.5
2022-09-30,10.09,$3.00,3.36
2022-06-30,10.71,$3.30,3.25
2022-03-31,14.29,$2.99,4.78
2021-12-31,21.32,$2.93,7.28
2021-09-30,17.7,$0.99,17.88
2021-06-30,17.15,$-2.44,0.0
2020-12-31,10.91,$-5.36,0.0
2020-09-30,7.67,$-7.31,0.0
2020-06-30,8.95,$-7.25,0.0
2020-03-31,5.82,$-3.90,0.0
2019-12-31,15.37,$-1.02,0.0
2021-03-31,17.57,$0.40,43.93
2019-09-30,14.09,$0.82,17.18
2019-06-30,14.79,$1.92,7.7
2019-03-31,17.4,$1.30,13.39
2018-12-31,19.42,$2.06,9.43
2018-09-30,22.09,$2.17,10.18
2017-12-31,30.05,$1.34,22.43
2017-09-30,30.79,$3.87,7.95
2017-06-30,32.27,$4.02,8.03
2017-03-31,33.14,$4.63,7.16
2016-12-31,28.32,$4.73,5.99
2018-06-30,21.87,$3.27,6.69
2016-09-30,29.53,$1.20,24.61
2016-06-30,23.4,$1.00,23.4
2016-03-31,30.01,$0.95,31.59
2015-12-31,29.65,$1.09,27.2
2015-09-30,26.56,$10.19,2.61
2015-06-30,27.25,$9.78,2.79
2015-03-31,24.42,$9.84,2.48
2014-12-31,25.71,$8.79,2.92
2014-09-30,20.27,$1.95,10.39
2014-06-30,24.87,$1.99,12.5
2014-03-31,23.35,$1.90,12.29
2013-12-31,21.26,$2.23,9.54
2013-09-30,19.97,$1.39,14.37
2013-06-30,13.61,$1.18,11.53
2013-03-31,11.21,$0.84,13.35
2012-12-31,12.28,$0.69,17.8
2012-09-30,10.84,$0.76,14.27
2012-06-30,10.5,$0.95,11.06
2012-03-31,9.98,$0.78,12.79
2011-12-31,12.6,$1.25,10.08
2011-09-30,8.97,$0.45,19.94
2011-06-30,14.92,$-0.23,0.0
2011-03-31,13.32,$-0.28,0.0
2010-12-31,10.54,$-0.89,0.0
2010-09-30,9.56,$0.28,34.15
2010-06-30,8.84,$0.65,13.6
2010-03-31,11.24,$-0.38,0.0
2009-12-31,12.54,$-1.57,0.0
2009-09-30,15.15,$-1.70,0.0
